[00:00.000 --> 00:02.000]  We've got it
[10:54.880 --> 11:01.680]  who are the best and what have they set up and what is their end game and what makes them kick
[11:01.680 --> 11:08.720]  and i went and read the publications and the books and the white papers and the academic
[11:09.520 --> 11:17.760]  communiques between these different groups and overall they are eugenicist
[11:17.760 --> 11:25.280]  adherents that is they follow the science of eugenics i know for new listeners just
[11:26.080 --> 11:31.520]  when you think eugenics think hitler but but hitler didn't invent eugenics he was one
[11:31.520 --> 11:37.360]  manifestation of eugenics and our entire world in their own words
[11:40.880 --> 11:42.320]  is a laboratory
[11:42.320 --> 11:47.360]  i was at my parents a couple hours ago i took my children over there to visit with them and drop
[11:47.360 --> 11:55.200]  them off and we were debating when i go out to florida next month to give some speeches at some
[11:55.200 --> 12:02.000]  radio stations and things whether i would take them to disney world and i know it's a commercial
[12:02.000 --> 12:07.280]  thing and and and and exploitive and all that i understand that the point is you know do you go
[12:07.280 --> 12:12.400]  experience that as my parents took me to experience it and we're having a debate about
[12:12.400 --> 12:16.560]  the biometrics my dad's saying you know it's just about having you opt in to finger scan and all
[12:16.560 --> 12:22.320]  that they're already face scanning you and i said of course but i said the point is is that i just
[12:22.320 --> 12:26.480]  don't want to be around it but obviously it's being expanded out from there and i said the
[12:26.480 --> 12:31.200]  whole thing is obviously a department of defense laboratory because everything else is through
[12:31.200 --> 12:39.600]  darpa and i had my iphone which itself is a darpa projected creation and i said here let's type in
[12:39.600 --> 12:45.840]  department of defense laboratory disney biometrics because i'd already seen some of that back in the
[12:45.840 --> 12:55.360]  mid-90s and i typed in biometrics disney and i found the electronic frontier foundation other
[12:55.360 --> 12:59.680]  groups but also found disney press releases and i found the electronic frontier foundation
[12:59.680 --> 13:06.320]  found disney press releases how and again i already knew this even though i had only
[13:06.320 --> 13:11.200]  small pieces of it over a decade the last time i looked at it i already knew it was a department
[13:11.200 --> 13:17.040]  of defense laboratory sure enough they're all department of defense laboratories their cruise
[13:17.040 --> 13:23.760]  ships are and it says it's a department of defense deal they have this new disney usa
[13:23.760 --> 13:29.600]  where when you go stay at the uh not just disney world but this other facility when you go stay at
[13:29.600 --> 13:39.760]  disney usa it's a interactive laboratory and when you go on the cruise ship it face scans you
[13:39.760 --> 13:46.240]  but you get to feel uppity and big that it talks to you like something out of minority report
[13:47.440 --> 13:51.040]  and of course they already had technology that face scans you and active billboards
[13:51.040 --> 13:54.320]  before that movie even came out they had that stuff developed
[13:54.320 --> 14:00.160]  when philip k dick was out in san francisco writing minority report in the 1970s
[14:05.280 --> 14:10.720]  the truth is pkd and people like that were actually hanging around with the silicon valley
[14:10.720 --> 14:16.320]  people everything we've been allowed to see is at least 30 years old that's what i'm trying to get
[14:16.320 --> 14:21.280]  across to you and my dad's like really it's department of defense and i went and typed
[14:21.280 --> 14:30.720]  that in disney department of defense laboratory boom whole thing human tracking testing system
[14:30.720 --> 14:38.080]  but so are the grocery stores the big ones so are the malls all of it i mean i've been given the
[14:38.080 --> 14:43.360]  tours of the university of texas psychology department over 90 of its darpa funded
[14:43.360 --> 14:50.960]  and in there again the first time i got a shirt of it like 15 years ago
[14:52.560 --> 14:58.560]  see it turns out disney is testing the prison city model for the department of defense since
[14:58.560 --> 15:03.760]  their first official contract in 1996 and the guys have pulled up some documents for people
[15:03.760 --> 15:09.360]  watching on prison planet.tv but you can actually just type in 1996 it'll pull it up because see
[15:09.360 --> 15:16.000]  disney is a city and so the model of tracking people going into disney world since 96 was the
[15:16.000 --> 15:21.520]  model they used in fallujah thumb scanning face scanning and entering it it's a model at the
[15:21.520 --> 15:27.840]  airport but just to get you ready for prisoner training then they put their hands on you as well
[15:28.560 --> 15:35.760]  it's all dog training and again i've covered one one millionth of the data i've got okay literally
[15:35.760 --> 15:41.200]  i mean you understand that right so so so the only way we're going to beat this technocracy
[15:41.760 --> 15:45.680]  is realizing it's there and if you're a new listener like yeah right the department of
[15:45.680 --> 15:51.200]  defense disney go look it up they're not hiding it they're very proud of it and it's the model
[15:51.200 --> 15:57.280]  for everything being a giant prison to make sure you drink your sodium water sodium fluoride water
[15:57.280 --> 16:06.720]  and you know the rest when you're out on the road the last place you want to be is on the road but
[16:06.720 --> 16:12.720]  if the unfortunate happens you'll be glad you were wearing diamond gussets there's a place down in
[16:12.720 --> 16:24.880]  tennessee where they make blue diamond gusset jeans they so pride in every stitch guarantee
[16:24.880 --> 16:32.640]  guarantee you love the way they fit they put a diamond gusset in the crotch where you need it
[16:32.640 --> 16:42.800]  most blue diamond gussets got it others don't we turn jeans inside out diamond gusset jeans
[16:42.800 --> 16:48.480]  made in the usa with unparalleled quality our defender motorcycle jeans combine gusset comfort
[16:48.480 --> 16:55.120]  with kevlar protection so you can ride all day with confidence order yours at gusset.com
[16:55.120 --> 17:03.840]  diamond gusset jeans got it others don't you may be arrested and or subject to other police action
[17:03.840 --> 17:10.640]  tyranny is here the grim future foretold in 1984 has become reality it really says that the state
[17:10.640 --> 17:15.600]  is god the united states is now recognized globally as one of the most oppressive police
[17:15.600 --> 17:21.600]  states on earth this film conclusively proves the existence of a secret network of fema camps
[17:21.600 --> 17:27.120]  now being expanded nationwide this documentary exposes how the continuity of government program
[17:27.120 --> 17:32.160]  has established an all-powerful shadow state police state four chronicles the sickening depth
[17:32.160 --> 17:38.240]  to which our republic has fallen prepare to enter the secretive world of emergency dictatorship
[17:38.240 --> 17:44.400]  body scammers sound cameras citizen spies stage terror and cameras on every street corner it's
[17:44.400 --> 17:49.840]  only the beginning of the new world order's hellish plan the police state isn't coming it's
[17:49.840 --> 17:56.880]  here secure your copy today at info wars.com or see it online in the highest quality at prison
[17:56.880 --> 18:05.440]  planet.tv hi folks this is alex jones i'm looking for people that have the wisdom to spot savings
[18:05.440 --> 18:11.040]  opportunity and recognize risk saving means to make money the cow been pure soap company can
[18:11.040 --> 18:15.520]  save you thousands of dollars and give you good old-fashioned real soaps that are triple
[18:15.520 --> 18:20.880]  concentrated and twice as good as what you're using now soaps made from vegetable and coconut
[18:20.880 --> 18:27.200]  oils that contain no useless dyes perfumes deodorants or antibacterials your risk is the
[18:27.200 --> 18:33.360]  hundreds of hazardous toxic detergents that give you rashes itching sores and deteriorating clothing
[18:33.360 --> 18:37.760]  called lint if you want something better if you want something you've never had before you have
[18:37.760 --> 18:44.560]  to do something you've never done before getting a free catalog is easy by calling 800-340-7091
[18:44.560 --> 18:52.720]  or see calvin on the web at five star soap.com take charge of your health now by calling 800-340-7091
[18:52.720 --> 19:02.080]  or see calvin on the web at five star soap.com did you ever think you'd be where you are a decade
[19:02.080 --> 19:08.240]  into the 21st century record foreclosure rates for homes if not yours your neighbors thankful
[19:08.240 --> 19:13.200]  for the unemployment checks since you were laid off and placing your child's name on the angel
[19:13.200 --> 19:18.480]  tree in hopes of a christmas gift along with thousands of other americans did you ever think
[19:18.480 --> 19:24.800]  your future would feel this out of control the fact is in all this craziness there's only one
[19:24.800 --> 19:31.200]  thing you can control your greatest dependency your food supply make 2012 the year you take
[19:31.200 --> 19:36.480]  control by getting prepared efoods direct introduces the best way to build your food
[19:36.480 --> 19:44.400]  supply in the 21st century get a 21-day supply of food free with purchase call 800-409-5633
[19:44.400 --> 19:52.640]  or go to efoods direct.com forward slash alex take back control in 2012 call 800-409-5633
[19:52.640 --> 20:01.280]  or go to efoods direct.com forward slash alex remember you can bet your life on efoods direct
[20:01.280 --> 20:08.080]  coast to coast direct from austin you're listening to the alex jones broadcasting network
[20:08.080 --> 20:25.040]  network from the front lines of the information war it's alex jones
[20:25.040 --> 20:31.200]  yeah i'm not going to spend all day on disney world but i did notice that obama's going to
[20:31.200 --> 20:36.400]  disney world next week and they're going to shut most of it down for his lordship and his
[20:36.400 --> 20:43.120]  wife and children but that's all part of this other fraud this facade this fantasy land
[20:44.000 --> 20:48.720]  that we see here on the cover of this week's time magazine obama's world an exclusive interview
[20:49.440 --> 20:55.600]  by mr builderberg group attendee for read zarkaria and it's all about how obama actually
[20:55.600 --> 21:01.680]  runs things you see the true social engineers the true owners of our world want you to really
[21:01.680 --> 21:09.200]  believe the buck stops with a teleprompter reading lawyer who runs absolutely nothing
[21:09.200 --> 21:14.080]  and is a mouthpiece of the political interest and financial interest that put him in power
[21:14.080 --> 21:19.440]  and financed him with over a billion dollars in the 2008 campaign you notice who he just appointed
[21:19.440 --> 21:25.600]  as the as the finance head in the white house getting rid of the old uh from the famous mob
[21:25.600 --> 21:36.320]  family uh daily they hired the the last head of bain capital who replaced mit romney the guy who
[21:36.320 --> 21:42.160]  supports abortion carbon taxes open borders gun control and road obamacare that republicans are
[21:42.160 --> 21:48.800]  being told uh by the paid for mouthpieces is the guy they've got to elect or they can choose
[21:48.800 --> 21:56.800]  newt ginrich who politico's reporting called for censorship of the internet in 2006 supports carbon
[21:56.800 --> 22:01.520]  taxes world government an end of the family don't believe me just type newt ginrich supports an end
[22:01.520 --> 22:06.080]  of the family end of sovereignty he'll pull up his quotes i mean i've actually read the forward to
[22:06.960 --> 22:13.040]  the toffler's book where he said it all better find out better find out what's really going on
[22:13.040 --> 22:22.960]  here but my point is that that that the social engineers first and foremost want you dependent
[22:22.960 --> 22:30.240]  on the system they don't like farmers they don't like ranchers they don't like people that know
[22:30.240 --> 22:35.520]  how to skin a buck and run a trot line because the country boy can't survive they want you in
[22:35.520 --> 22:44.160]  big compact cities working for a handful of mega corporations who are authoritarian and anti-human
[22:44.160 --> 22:51.680]  and the the fortune 100 themselves are financed owned and run by the six big mega banks globally
[22:51.680 --> 23:00.800]  who on record again have the licensure through fraud to create unlimited currency and credit
[23:00.800 --> 23:06.160]  whenever they want so imagine you've got ultra rich fraudsters who don't go to jail like bernie
[23:06.160 --> 23:11.600]  madoff or die after sentencing like ken lay who by the way created carbon taxes with al gore
[23:11.600 --> 23:16.880]  in 1995 look it up now those are low level guys that end up getting burned you know the system
[23:16.880 --> 23:23.120]  sacrifices a few uh in this whole uh you know system occasionally to make the public think
[23:23.120 --> 23:28.240]  the bad guys are being punished but it's always a mid-level nobody like bernie madoff bernie madoff
[23:28.240 --> 23:35.360]  deals 50 60 billion dollars the globalist steal trillions and trillions and trillions and trillions
[23:35.360 --> 23:44.640]  and then have the the the bought and paid for dinosaur uh sewer rat sewer line mainstream
[23:44.640 --> 23:50.880]  media tell you that the very mega banks that engineered the fraud that we've bailed out
[23:50.880 --> 23:55.200]  that are too big to fail they're now the people in europe the us and everywhere else
[23:55.200 --> 24:02.720]  that that that tell us what to do and that tell us what our future is going to be and have armies
[24:02.720 --> 24:08.800]  of little fake futurists out there running around telling us everything's random and the world's all
[24:08.800 --> 24:21.040]  up for grabs and the truth is everything at the base level is engineered within confines within
[24:21.040 --> 24:29.520]  within a grid and there is randomness within that but that is all basically predictably scanned
[24:29.520 --> 24:35.840]  through google and other systems i don't mean you searching google that's what you think the
[24:35.840 --> 24:43.600]  function is when you go to google it's getting all the data on you what you're into what you read
[24:43.600 --> 24:50.320]  where you go how much money you've got your sexual habits what you what you eat what you're
[24:50.320 --> 24:58.400]  what you're thinking when you order a pizza from a large pizza chain it's been on record for eight
[24:58.400 --> 25:03.280]  years that they run your background and sell that data to the government and then if there's
[25:03.280 --> 25:07.360]  any warrants out for you they put it in a file for the government to know don't believe me just
[25:07.360 --> 25:13.920]  look up usa today on that scofflaws get caught ordering pizzas the point is you're given an
[25:13.920 --> 25:20.080]  iphone you go pay for it you're made to line up for it they don't manufacture enough or or create
[25:20.080 --> 25:26.800]  the christmas toy phenomenon of stampedes for the slave-produced product you get it
[25:28.080 --> 25:32.320]  you think that it's trendy a a a totem or logo of power
[25:34.480 --> 25:41.040]  it's so fun it's the latest thing yeah there's the usa today article missouri tracks scofflaws
[25:41.040 --> 25:46.640]  via pizza delivery database you didn't get the right to remain silent when you order that pizza
[25:46.640 --> 25:53.520]  did you i mean i would tell the childlike public 15 16 years ago that all cell phones are tracked
[25:53.520 --> 25:58.560]  in real time illegally by the government but back then the public was told the nsa didn't exist i
[25:58.560 --> 26:06.800]  actually had national news 14 15 years ago repeatedly say i was insane that the nsa didn't
[26:06.800 --> 26:12.480]  exist oh now you all know it exists because now they're ready to tell you they always tell you
[26:12.480 --> 26:19.680]  decades after it's in place and echelon and the rest of it and uh yuppies and people that don't
[26:19.680 --> 26:24.400]  have a respect for themselves they think that if they just deny something's happening that gives
[26:24.400 --> 26:30.880]  them power over it and so one day none of this exists but as soon as the establishment announces
[26:30.880 --> 26:36.560]  it exists oh it exists but that's okay because they're given a reason for it existing kind of
[26:36.560 --> 26:42.800]  like the cancer viruses they put in your vaccines and i get emails and letters people on the street
[26:42.800 --> 26:47.200]  go well there are too many people oh really well do you like you like dying of cancer young you
[26:47.200 --> 26:56.080]  like your kid dying of it oh no no oh see you were imagining you were part of the elite but see you
[26:56.080 --> 27:04.080]  aren't see it's very very sick and that's why it's very very sick when i hear grown men and adults
[27:04.080 --> 27:11.520]  getting all uh exercised and excited about the football game about the basketball game or
[27:11.520 --> 27:16.320]  about golf and it may be so oh my gosh did you see this and they have all the little factoids
[27:16.320 --> 27:22.320]  everything and i'm like why don't you get some factoids about global governance or about the
[27:22.320 --> 27:29.360]  post-industrial world that the the technocrats are setting up or or about binary weapon systems
[27:29.360 --> 27:35.040]  in your food water and vaccines why don't you find out what a binary weapon system is why don't you
[27:35.040 --> 27:40.240]  just type in rockefeller foundation sterilants and vaccines i mean you'll be on their foundation
[27:40.240 --> 27:46.720]  website they've got it all public they think you're so stupid it's all public why your 30
[27:46.720 --> 27:55.120]  year old wife can't have a kid or why you got prostate cancer at 40 or or or why you've got all
[27:55.120 --> 28:01.680]  those uh spinal problems from the sodium fluoride or why your seven-year-old son just got diagnosed
[28:01.680 --> 28:09.680]  with bone cancer or why all the birth defects are so high you know you have that kid who's got all
[28:09.680 --> 28:18.640]  those organs malformed you think you might want to know who did it you might want to know why all
[28:18.640 --> 28:27.920]  this is happening but no you don't because there's this pretty shiny sparkly fake glitter las vegas
[28:27.920 --> 28:36.160]  new world order system the fake cities of las vegas and disney and and the cruise ships and
[28:36.160 --> 28:41.440]  the biometrics and all of these little contained artificial environments why does the department
[28:41.440 --> 28:47.680]  of defense study those because they're going to turn the whole world into a time square where
[28:47.680 --> 28:52.960]  you're bombarded by the brainwashing where you're bombarded by the propaganda where you are a
[28:52.960 --> 29:01.280]  prisoner brainwashed not me i've seen reality i've seen what the controllers see this is alex jones
[29:01.280 --> 29:06.240]  with five good reasons you should consider buying a solar power generator number one new climate
[29:06.240 --> 29:11.200]  legislation could easily double or triple your electric bill number two our new energies are
[29:11.200 --> 29:16.000]  wants to control how much power your electric company allows you to have it's true total
[29:16.000 --> 29:21.280]  government control of electricity in the name of smart grid technology is coming number three
[29:21.280 --> 29:26.240]  in some areas of the country the power grid is dangerously overloaded and now new socialist
[29:26.240 --> 29:31.680]  legislation is only compounding the problem number four dangerous weather is always a threat to local
[29:31.680 --> 29:36.960]  grids every year thousands of families lose their power from weather related onages number five a
[29:36.960 --> 29:41.840]  solar power generator provides powerful backup insurance and peace of mind folks i really believe
[29:41.840 --> 29:46.560]  in the solar power generators offered by solutions from science one of my oldest sponsors you can get
[29:46.560 --> 29:53.440]  more information at www.mysolarbackup.com that's mysolarbackup.com remember the government doesn't
[29:53.440 --> 30:03.600]  own the sun so go to mysolarbackup.com or call 1-877-327-0365 hi folks this is alex jones and i
[30:03.600 --> 30:08.560]  want to tell you about the silver lungs generator now you can produce pure and endless colloidal
[30:08.560 --> 30:13.760]  silver and deliver the solution directly into the bloodstream by breathing the solution through the
[30:13.760 --> 30:19.360]  lungs the respiratory system is the first line of defense for airborne pathogens and viruses
[30:19.360 --> 30:24.880]  the silver lungs generator infuses the respiratory system with your self-produced nano silver
[30:24.880 --> 30:30.880]  solutions and also delivers the silver nanoparticles instantly into the bloodstream
[30:30.880 --> 30:36.720]  with continued legislation threatening the sale of nano silver products you can now produce pure
[30:36.720 --> 30:42.400]  and endless colloidal silver with the silver lungs generator very easy to follow step-by-step
[30:42.400 --> 30:49.760]  instructions are provided making production fast and simple go to www.silverlungs.com today
[30:49.760 --> 30:53.280]  and learn more about the breakthrough technology of the silver lungs generator
[30:53.280 --> 30:56.160]  that's www.silverlungs.com
[31:01.280 --> 31:05.280]  hundreds of nations have fallen to tyranny in the last century alone
[31:05.280 --> 31:10.960]  this is our last chance to not relive history as they're finishing off this agenda they'll
[31:10.960 --> 31:16.640]  be pulling the rug from underneath americans at home tremendous influence on our president
[31:16.640 --> 31:22.480]  and congress and they really are calling the shots i think it's incumbent upon all of us
[31:22.480 --> 31:28.160]  as american citizens to pay attention for the republic identifies the enemies of our nation
[31:28.160 --> 31:33.520]  the criminal offshore cartel hell bent on destroying sovereignty and on its ashes
[31:33.520 --> 31:37.840]  constructing world government tim geithner bernanke they're arsonists they're asking
[31:37.840 --> 31:42.080]  for more matches and the congress is saying who do we make the check out to today seems
[31:42.080 --> 31:49.200]  like nobody does care and right now in washington dc we have seen a fall of the republic get your
[31:49.200 --> 31:56.880]  copy of fall of the republic on dvd at infowars.com or watching online right now in super high quality
[31:56.880 --> 32:03.360]  at prisonplanet.tv hi this is alex jones did you know that the global elite are now storing
[32:03.360 --> 32:08.000]  non-hybrid seeds and secret storage vaults near the arctic circle did you know that in a real
[32:08.000 --> 32:12.560]  meltdown non-hybrid seeds could become more valuable than silver or gold it's true seeds
[32:12.560 --> 32:16.400]  have outperformed even gold and silver before in this country and it's possible that could even
[32:16.400 --> 32:21.120]  happen again so our friends at solutions from science have put together the perfect mix of
[32:21.120 --> 32:27.280]  non-hybrid seeds they call it a survival seed bank and it can produce an endless supply of
[32:27.280 --> 32:31.840]  nutrient-dense food for you and your family and here's the best part these seeds have not been
[32:31.840 --> 32:36.960]  genetically modified in any way and you actually get enough seeds to plant a full acre crisis
[32:36.960 --> 32:43.760]  garden so visit them today at survivalseedbank.com that's survivalseedbank.com or give them a call
[32:43.760 --> 32:55.680]  at 877-327-0365 that's 877-327-0365 remember in a real crisis non-hybrid seeds are the ultimate
[32:55.680 --> 33:04.000]  barter item this is alex jones for survivalseedbank.com coast to coast direct from austin
[33:04.000 --> 33:28.160]  you're listening to the alex jones broadcasting network all right we are live
[33:28.160 --> 33:38.720]  we are live it is the 22nd day of january 2012 i'll have open phones and a ton of other
[33:38.720 --> 33:46.960]  really important news in the second hour today i'm here every sunday 4 to 6 pm blasting out on
[33:46.960 --> 33:54.480]  the sunday show on more than 60 am and fm stations the weekday show over 100 xm channel 166
[33:54.480 --> 34:02.640]  the websites are infowars.com prisonplanet.com and prisonplanet.tv amongst many others like
[34:02.640 --> 34:08.240]  what is the endgame.com oh you don't know what the endgame is that's like saying i don't know what the
[34:08.800 --> 34:16.720]  matrix is one cannot be told about the matrix one has to see the matrix for themselves
[34:16.720 --> 34:26.400]  and i am tending to wax philosophical here because my mind swims around the great reservoir
[34:26.400 --> 34:33.840]  of research i've done and then in the spoken word to assemble the information
[34:33.840 --> 34:48.640]  the information is a great task to try to assemble it simply but if you assemble it simply
[34:48.640 --> 34:54.000]  then that falls in the paradigm of not being three-dimensional and having depth to it because
[34:54.000 --> 34:58.480]  when you're communicating with a population that's been trained in one-dimensional thought processes
[34:58.480 --> 35:03.600]  it's very very hard
[35:08.640 --> 35:10.400]  the best way to put this is
[35:12.720 --> 35:20.400]  the general public is basically in different degrees of sleep and i mean technically is in
[35:20.400 --> 35:28.320]  sleep now you can pull up bbc articles major studies about television being directly linked to
[35:28.320 --> 35:33.040]  different neurological disorders not just seizures but early onset of
[35:36.320 --> 35:41.680]  things like alzheimer's in fact just type in alzheimer's tv first one's bbc but there's about
[35:41.680 --> 35:46.960]  three million articles on it or hits last time i checked a few months ago we'll see what it is now
[35:46.960 --> 35:53.920]  again i want listeners understand every sentence i say can be pulled up as a data point
[35:54.480 --> 35:57.440]  that's how my brain works none of this is my opinion
[35:59.600 --> 36:05.760]  and i know the future you know why i know the future because the future already happened the
[36:05.760 --> 36:16.880]  future is already here we are in a subterranean suppressed sloth-like slow motion future
[36:16.880 --> 36:23.920]  that is dripped out like poison honey from a honey hive and the globalists repping their technocratic
[36:25.120 --> 36:31.840]  beehive and we're down here like addled poisoned ants stumbling around
[36:31.840 --> 36:44.800]  and one cannot be told about the matrix one must see it i think a simple way to put this is
[36:50.400 --> 36:57.040]  we are not in a matrix but the technocrats the globalists are trying to build one
[36:57.040 --> 37:06.320]  they're trying to build a completely artificial habitat for the general public
[37:10.320 --> 37:15.520]  they're trying to limit the information you come in contact with they're trying to make you very
[37:15.520 --> 37:23.920]  very shallow they're trying to reduce the language and the number of words people use the system
[37:23.920 --> 37:28.800]  the system admits in so many white papers that'll make your head spin that they want to
[37:28.800 --> 37:33.520]  basically abolish the family and they've done an incredible job of that
[37:36.800 --> 37:41.280]  and then you read all these globalist white papers like the wired magazine article i've
[37:41.280 --> 37:47.280]  talked about for 14 years why the future doesn't need us bill joy co-owner sun micro systems
[37:47.280 --> 37:54.320]  and he says in the article you know i went to this conference with 200 tech company owners
[37:54.320 --> 37:59.040]  some of the richest guys in the world and you know the debate was do we kill everybody
[38:02.800 --> 38:07.280]  because they're not needed anymore because labor isn't just cheap it's actually a negative because
