[00:00.000 --> 00:10.000]  So
[09:03.240 --> 09:09.440]  Only the local people and a judge here in town in Long Beach, California have the will
[09:09.440 --> 09:11.800]  to stand up against this tyranny.
[09:11.800 --> 09:13.600]  And what is the tyranny?
[09:13.600 --> 09:19.360]  There are over 30 million political dissidents in Chinese slave labor camps in the mainland
[09:19.360 --> 09:20.520]  of China.
[09:20.520 --> 09:23.720]  This has been widely reported.
[09:23.720 --> 09:31.480]  Why then would we allow Costco, which is controlled by the bloodthirsty, fascistic leadership
[09:31.480 --> 09:39.440]  of China to have our only deep water port right in the heart of our western coastline?
[09:39.440 --> 09:47.360]  And something that we really see no reason for is the fact that we have been denied access
[09:47.360 --> 09:53.480]  to this facility even though it is in the process of being dismantled and closed down.
[09:53.480 --> 10:00.480]  You're not allowed to show you the extensive shipping facilities, cranes, docks, and indoor
[10:00.480 --> 10:06.760]  facilities for working on large ships that China military shipping concern Costco is
[10:06.760 --> 10:08.080]  going to get.
[10:08.080 --> 10:17.200]  We talked to Ernie McBride, Naval Intelligence here, and he told us that we'd have to call
[10:17.200 --> 10:20.000]  the Navy and get permission to get in.
[10:20.000 --> 10:25.040]  Well I did that three weeks ago and never heard back from them even though I called the Navy
[10:25.040 --> 10:27.160]  about 15 times.
[10:27.160 --> 10:32.600]  So remember that your government, which pretty much at the top level is selling out, thinks
[10:32.600 --> 10:39.520]  there's no problem with the communist Chinese that treat their people like slaves, are gaining
[10:39.520 --> 10:43.640]  our strategic military bases and ports all over this country.
[10:43.640 --> 10:52.760]  But the people on the ground that are actually in the military and are guarding and protecting
[10:52.760 --> 10:57.120]  this place, they think it's terrible because they've got some common sense because they
[10:57.120 --> 11:00.400]  haven't been paid off like your president has.
[11:00.400 --> 11:05.240]  Again, we have been denied access to this facility.
[11:05.240 --> 11:09.640]  Why is there this obsession in our federal government with weakening our constitution?
[11:09.640 --> 11:14.440]  Why do these lackeys from Harvard and Yale and other places dislike America so much and
[11:14.440 --> 11:18.360]  are so willing to weaken America so their friends in Europe can control the world?
[11:18.360 --> 11:20.360]  Because that's what it's all about.
[11:20.360 --> 11:26.320]  Make no mistake, this is about weakening America so that the Eastern establishment, which is
[11:26.320 --> 11:30.080]  allied with the European Empire, can continue to flourish.
[11:30.080 --> 11:34.960]  This is real politics, not what you're taught by the mainstream media, which are nothing
[11:34.960 --> 11:39.600]  but propaganda bureaus of the corrupt establishment.
[11:39.600 --> 11:42.600]  I'll get in trouble if I talk to anything.
[11:42.600 --> 11:43.600]  Really?
[11:43.600 --> 11:44.600]  I know, that's understandable.
[11:44.600 --> 11:46.600]  They tell us not to say anything.
[11:46.600 --> 11:47.600]  They do?
[11:47.600 --> 11:48.600]  Yeah.
[11:48.600 --> 11:51.840]  So you're not supposed to talk about how the Chinese are fighting tooth and nail to get
[11:51.840 --> 11:55.120]  our only deepwater port on the western side of the United States?
[11:55.120 --> 11:57.120]  You can't say anything.
[11:57.120 --> 12:01.000]  Well thank you for at least being a patriot and saying that you don't like it.
[12:01.000 --> 12:02.000]  Next slide.
[12:02.000 --> 12:08.240]  We can show you from outside the base, across the small bay, but it's still hard for you
[12:08.240 --> 12:14.200]  to understand and for us to understand the enormity of this port complex and shipyards
[12:14.200 --> 12:20.240]  that's just being handed over again to the Communist dictatorship in China.
[12:20.240 --> 12:22.240]  Take a look.
[12:22.240 --> 12:23.240]  Endless.
[12:23.240 --> 12:29.140]  As far as I could see, with conning towers and deepwater ports and shipyards and big
[12:29.140 --> 12:36.520]  oil tank facilities for refueling, they've got it all.
[12:36.520 --> 12:38.320]  That's our power.
[12:38.320 --> 12:42.480]  Wars have been fought over ports and we're just giving them to them.
[12:42.480 --> 12:43.480]  It's insanity.
[12:43.480 --> 12:45.800]  That's not really insanity.
[12:45.800 --> 12:46.800]  We're being sold out.
[12:46.800 --> 12:48.120]  Our politicians don't care about America.
[12:48.120 --> 12:51.280]  They've been taught the international language of trade.
[12:51.280 --> 12:52.440]  Sell your country out.
[12:52.440 --> 12:58.280]  I'll assure you, China and Germany and Japan and England aren't selling out their ports,
[12:58.280 --> 13:00.240]  their military shipyards.
[13:00.240 --> 13:01.640]  This is very dangerous.
[13:01.640 --> 13:08.960]  This is a strategic point in the United States of America.
[13:08.960 --> 13:13.560]  We left San Diego, but we're not done exposing what's going on with the Communist Chinese
[13:13.560 --> 13:14.880]  here inside our nation.
[13:14.880 --> 13:19.400]  In fact, Communist is too kind of word for them, that pseudo-political term, that excuse
[13:19.400 --> 13:20.720]  for slavery.
[13:20.720 --> 13:22.360]  It's just called a slave system.
[13:22.360 --> 13:25.960]  And on our way to the high desert to expose what's going on at George Air Force Base,
[13:25.960 --> 13:26.960]  Costco trucks.
[13:26.960 --> 13:32.680]  Yes, we saw no less than three Costco trucks bringing in slave goods from the ports on
[13:32.680 --> 13:33.680]  our western seaboard.
[13:33.680 --> 13:38.000]  Well, you're fixing to see George Air Force Base, you're fixing to see Atalanto in Vitroville,
[13:38.000 --> 13:42.760]  California, where they're moving in, where they're building 20 mini-malls for slave goods.
[13:42.760 --> 13:45.080]  We're going to talk to the city manager of Atalanto.
[13:45.080 --> 13:48.280]  We're also going to visit these mini-malls.
[13:48.280 --> 13:53.480]  And then we're going to give you a brief intelligence report about exactly what the entire scope
[13:53.480 --> 14:00.600]  is and what the plans are and who the Communist Chinese are working for.
[14:00.600 --> 14:05.680]  We're now here in Southern California at a little town called Victorville, where George
[14:05.680 --> 14:07.760]  Air Force Base is located.
[14:07.760 --> 14:13.240]  The Chinese have been attempting to acquire the Air Force Base, and we're told they still
[14:13.240 --> 14:14.360]  acquire it.
[14:14.360 --> 14:17.920]  But that's not going to stop them bringing in their slave goods from their over 30 million
[14:17.920 --> 14:20.040]  political dissidents and slave labor camps.
[14:20.040 --> 14:25.280]  Right here, this is the first we're told by the workers of 20 such wholesale markets where
[14:25.280 --> 14:30.640]  slave goods will be brought into the U.S. and sold at discount prices to retailers.
[14:30.640 --> 14:36.280]  So here you have it, no more middleman for the Chinese military industrial complex to
[14:36.280 --> 14:37.640]  sell slave goods.
[14:37.640 --> 14:42.360]  They're actually buying up the land, and this again is the first of 20 such facilities
[14:42.360 --> 14:43.360]  to be built.
[14:43.360 --> 14:52.480]  And now we're fixing to go down to the courthouse and get the actual records.
[14:52.480 --> 14:57.200]  Listen carefully to this interview with Mr. Sakamoto, the city manager of Atalanto, and
[14:57.200 --> 15:01.840]  get his point of view on trade and human rights.
[15:01.840 --> 15:04.360]  So the town's kind of taking a hit since the base pleasure.
[15:04.360 --> 15:05.360]  Very bad.
[15:05.360 --> 15:09.640]  Yeah, our unemployment last month was 15.5%.
[15:09.640 --> 15:16.240]  Can you tell us any details, and I see behind you in y'all's local newspaper, it says massive
[15:16.240 --> 15:18.480]  trade center breaks ground.
[15:18.480 --> 15:25.080]  And they had purchased a piece of property in Atalanto and proposed the development of
[15:25.080 --> 15:33.640]  a million square feet of import-export center type operations to be built here in the community.
[15:33.640 --> 15:37.400]  The project was approved by the Planning Commission and then subsequently approved by the City
[15:37.400 --> 15:39.400]  Council.
[15:39.400 --> 15:42.880]  Really around building and zoning type requirements.
[15:42.880 --> 15:46.760]  And since that time, they've gone forward trying to put their project together.
[15:46.760 --> 15:54.680]  A question about, you said that it's bringing jobs to the area, to this group of small towns
[15:54.680 --> 15:58.480]  here in the George Air Force Base that's been shut down, when was George Air Force Base
[15:58.480 --> 15:59.480]  closed?
[15:59.480 --> 16:00.480]  1992, December.
[16:00.480 --> 16:01.480]  1992.
[16:01.480 --> 16:04.640]  That was all that big base closure stuff going through?
[16:04.640 --> 16:05.640]  Correct.
[16:05.640 --> 16:09.640]  You're saying that it will bring jobs.
[16:09.640 --> 16:14.560]  How can American business and workers compete with Chinese slave labor goods?
[16:14.560 --> 16:20.000]  Well, this portion of the business is going to be the retail portion.
[16:20.000 --> 16:22.360]  They're not going to do any manufacturing here.
[16:22.360 --> 16:26.040]  I understand that, but the question is, and Amos International and many others would categorize
[16:26.040 --> 16:32.960]  this, and we know that in human history, it is, we're not saying it's just China.
[16:32.960 --> 16:38.640]  In human history, near slavery or slavery has pretty much been the way a lot of societies
[16:38.640 --> 16:45.200]  have operated, and some estimates are as high as 30 million political distance in slave
[16:45.200 --> 16:47.320]  labor camps in China.
[16:47.320 --> 16:52.120]  And there's the human rights issue, and then on top of it, there's the issue of this isn't
[16:52.120 --> 16:53.120]  even free trade.
[16:53.120 --> 16:58.120]  This is absolute slave labor control by the military in China, and the fear is, is that
[16:58.120 --> 17:02.400]  already, we're not sending all that Walmart, Kmart, Target, every other shopping mall is
[17:02.400 --> 17:04.440]  buying these goods, and they're just middlemen.
[17:04.440 --> 17:08.920]  Doesn't it seem like China is trying to take out the middlemen?
[17:08.920 --> 17:10.720]  I don't know.
[17:10.720 --> 17:15.480]  I leave the State Department and foreign trade to the federal government, because that's
[17:15.480 --> 17:17.160]  their purview and not ours.
[17:17.160 --> 17:22.200]  Well, you were asking a question, and I think your question's well taken in terms of the
[17:22.200 --> 17:29.480]  issue of the human rights abuses that are allegedly taking place in China.
[17:29.480 --> 17:32.920]  I haven't seen them, so I can't speak to them directly.
[17:32.920 --> 17:38.840]  I know our central government, our foreign affairs departments, have indicated through
[17:38.840 --> 17:45.680]  any number of their statements that are made that they're likely, or just as likely, concerned
[17:45.680 --> 17:52.800]  as we are in the city of Atlanta for those types of abuses that are taking place there.
[17:52.800 --> 17:59.600]  From our perspective as a city, with virtually 30% of the people in our community on public
[17:59.600 --> 18:06.720]  assistance, my job is to try to provide as many jobs for them as I can possibly provide.
[18:06.720 --> 18:13.240]  The stream of products that's coming here from companies like Nike, Hewlett Packard,
[18:13.240 --> 18:19.880]  IBM, all of whom have businesses in China now, and are producing products in China, and
[18:19.880 --> 18:24.560]  bringing them back here to the United States to market them, it's really difficult for
[18:24.560 --> 18:30.720]  a community the size of Atlanta to make a determination as to the difference.
[18:30.720 --> 18:34.520]  You make a good point in terms of cutting out a middleman someplace, and if it's that
[18:34.520 --> 18:37.400]  proper or is that advantageous.
[18:37.400 --> 18:42.000]  I don't know, it's a real difficult call, because obviously the corporate giants at
[18:42.000 --> 18:47.280]  IBM, Hewlett Packard, General Electric, all of them who are in mainland China now with
[18:47.280 --> 18:52.880]  factories that are producing goods, are hopefully producing a product where they're paying a
[18:52.880 --> 18:58.600]  good wage to the people who are there, and making sure that the people who are working
[18:58.600 --> 19:03.480]  there are receiving the best kind of care that they can.
[19:03.480 --> 19:06.360]  But nonetheless, products are consistently coming from China.
[19:06.360 --> 19:11.280]  I mean, you said it yourself, you can't go to Kmart, Walmart, Target, you can't go to
[19:11.280 --> 19:15.360]  any of those stores without tipping a box upside down and seeing that the product is
[19:15.360 --> 19:17.540]  made in China.
[19:17.540 --> 19:22.480]  I spoke to a Chinese businessman recently who came to visit here, and his statement to
[19:22.480 --> 19:25.200]  me was very simple.
[19:25.200 --> 19:29.320]  His statement was, I would like to pay my people more money.
[19:29.320 --> 19:35.560]  I would like to pay a decent wage, but when the American companies offer me only five
[19:35.560 --> 19:41.480]  or six percent of what they're selling the product for here in the United States, they
[19:41.480 --> 19:46.960]  make it very difficult for me to pay a salary that's competitive.
[19:46.960 --> 19:51.280]  I would like to pay a competitive salary, but as long as the American companies are
[19:51.280 --> 19:57.320]  only willing to pay me four cents on the dollar for a product, it becomes impossible for me.
[19:57.320 --> 20:04.240]  You see in our Congress, it being directed in the president's court to some of the patent
[20:04.240 --> 20:07.680]  laws that failed, like Trottermore and Patent Act, but now others have gotten through.
[20:07.680 --> 20:08.680]  Where?
[20:08.680 --> 20:09.680]  Surely.
[20:09.680 --> 20:13.240]  I'm writing the U.S. patent system, and I think we're being rated by the International
[20:13.240 --> 20:14.240]  Corporation.
[20:14.240 --> 20:18.000]  I think China is being rated by the International Corporations, and I'm at the International
[20:18.000 --> 20:23.120]  Corporations, and I'm at the partnership you see forming with the International Corporations
[20:23.120 --> 20:25.800]  and the Chinese military industrial complex.
[20:25.800 --> 20:29.560]  I'm sure there's a lot of really good Chinese businessmen, but the biggest business in China
[20:29.560 --> 20:35.520]  is their military, and it's absolutely been reported on and proven totally conclusively
[20:35.520 --> 20:40.120]  that the Chinese military runs most of the businesses in China.
[20:40.120 --> 20:45.000]  I don't know if you're aware of that, but that's probably the international question.
[20:45.000 --> 20:46.000]  Just a few more questions.
[20:46.000 --> 20:49.000]  Surely.
[20:49.000 --> 20:54.480]  Have members of the community express concern over some of the goods coming in from China,
[20:54.480 --> 20:59.840]  both from U.S. corporations and Chinese military corporations being slave goods?
[20:59.840 --> 21:05.320]  We have had, I think, two residents in our community who have voiced a concern over that
[21:05.320 --> 21:10.400]  same situation that you're alluding to, and they made their comments knowing at the city
[21:10.400 --> 21:11.400]  council meeting.
[21:11.400 --> 21:17.280]  At Long Beach, most people at the base were against giving them our only deep water pour,
[21:17.280 --> 21:23.800]  and then here, inland, in the high mountain area, it seems like people really want more
[21:23.800 --> 21:27.880]  jobs and more opportunities, so it seems like they're willing to kind of, since the big
[21:27.880 --> 21:31.680]  corporations and the federal government turned a blind eye, maybe they're just saying, let's
[21:31.680 --> 21:32.680]  just live.
[21:32.680 --> 21:40.480]  How large is the planned and under construction mall complex?
[21:40.480 --> 21:43.000]  You say it was like a million square feet?
[21:43.000 --> 21:50.000]  It's a 50-acre project, and it's a 50-acre project with one million square feet.
[21:50.000 --> 21:55.160]  Now, that's 20 buildings, 50,000 square feet.
[21:55.160 --> 21:57.400]  You said you had gone out to see that path.
[21:57.400 --> 21:58.560]  Yes, right down the road.
[21:58.560 --> 22:00.560]  Right down the road.
[22:00.560 --> 22:03.440]  You have to pick your 20 of those if you can.
[22:03.440 --> 22:06.760]  I mean, that's a million square feet is a lot of square feet.
[22:06.760 --> 22:13.720]  So to them, it's not good in their money manipulation game to even have a very successful American.
[22:13.720 --> 22:17.440]  It seems like in some quarters, they want to deindustrialize and make it service-oriented.
[22:17.440 --> 22:18.440]  That's an interesting comment.
[22:18.440 --> 22:20.280]  I hadn't thought much about that from that perspective.
[22:20.280 --> 22:21.280]  Think about it.
[22:21.280 --> 22:25.120]  They hold more stock, as you would say, in the third world, and they don't have that
[22:25.120 --> 22:29.600]  terrible thing called representative democracy there, and they've got thugs that run the
[22:29.600 --> 22:34.880]  places that are more than willing, and they don't have that pesky media there to ever
[22:34.880 --> 22:35.880]  peek into things.
[22:35.880 --> 22:42.960]  So if they can lower our stock value in industrialization as a whole as a country, as a company, then
[22:42.960 --> 22:46.600]  they can, in the aggregate, make themselves the rulers of assault.
[22:46.600 --> 22:47.600]  Good point.
[22:47.600 --> 22:48.600]  Well, thanks a lot, sir.
[22:48.600 --> 22:49.600]  You're welcome.
[22:49.600 --> 22:52.360]  Appreciate it.
[22:52.360 --> 22:55.800]  If you want to understand how this is all happening and you want to put a stop to it,
[22:55.800 --> 22:59.880]  you have to recognize the elitist that control the trilateralist system.
[22:59.880 --> 23:04.800]  It's a system where whole human populations are supposed to be sold on the chopping block,
[23:04.800 --> 23:06.280]  on the world auction.
[23:06.280 --> 23:11.520]  It's a place where, in the excuse of pragmatism and the future, they really revert to an old
[23:11.520 --> 23:13.640]  system known as slavery.
[23:13.640 --> 23:18.360]  Yes, your leaders are all bought and paid for, and they're using China.
[23:18.360 --> 23:24.360]  They're using the communist thug state of China as the front lines, as the vanguard of the
[23:24.360 --> 23:25.720]  New World Order.
[23:25.720 --> 23:28.040]  They are deindustrializing our nation.
[23:28.040 --> 23:33.640]  They are transferring the production facilities overseas where they have it fully under IMF
[23:33.640 --> 23:35.680]  and World Bank control.
[23:35.680 --> 23:41.040]  And until you realize exactly what the CFR is, that's the Council on Foreign Relations,
[23:41.040 --> 23:46.240]  the trilateral commission set up by David Rockefeller in 1973, and the Bilderbergers
[23:46.240 --> 23:49.280]  in Europe, you will not understand the secret government.
[23:49.280 --> 23:54.880]  You will not be able to honestly oppose the conspiracy, the program of slavery.
[23:54.880 --> 23:56.360]  That is the CFR.
[23:56.360 --> 24:00.160]  It is the house of the secret government here in the U.S.
[24:00.160 --> 24:04.720]  The trilateral commission is the Senate here in America, and the Bilderbergers are the
[24:04.720 --> 24:08.040]  criminal headquarters of the entire program.
[24:08.040 --> 24:14.440]  They control all of your major electronic media, all of your major print media, all
[24:14.440 --> 24:17.100]  of the editors, all of the senior correspondents.
[24:17.100 --> 24:18.560]  They control your senators.
[24:18.560 --> 24:21.840]  They control your national security council, the White House staff.
[24:21.840 --> 24:28.640]  They control all the heads of major top 20 industry, and all of the deans and top professors
[24:28.640 --> 24:30.640]  at your major universities.
[24:30.640 --> 24:34.840]  You put this all together, you have a picture of slavery, and then you understand what's
[24:34.840 --> 24:39.960]  going on with China, a billion and a quarter slaves plus being leveraged.
[24:39.960 --> 24:44.040]  You see the elitist families, you see their children and grandchildren moving forward.
[24:44.040 --> 24:47.560]  You see the Chinese at Long Beach bringing in their arms.
[24:47.560 --> 24:51.720]  Then you find out that they now have both ends of the Panama Canal that Jimmy Carter
[24:51.720 --> 24:56.000]  gave up, one of the founders of the trilateral commission with David Rockefeller.
[24:56.000 --> 25:01.400]  It is a picture of bringing America to its knees because there can be no strong nations
[25:01.400 --> 25:02.400]  in this system.
[25:02.400 --> 25:06.960]  They must all be under one centralized control, and what does it mean every time?
[25:06.960 --> 25:10.680]  Death and slavery, those are Chinese children in slave labor camps.
[25:10.680 --> 25:15.640]  CIA hearings in the Senate, yes, the Central Intelligence Agency brings in the cocaine
[25:15.640 --> 25:17.760]  and heroin in all your narcotics.
[25:17.760 --> 25:22.000]  It is out of control, and there you have it, the container facilities at Long Beach where
[25:22.000 --> 25:26.320]  the slave goods are being brought in by Costco to all your major stores.
[25:26.320 --> 25:31.440]  If you speak out against it, there'll be a visit to your house by these fellas, yes,
[25:31.440 --> 25:34.480]  the Global Love Cops, the MJTF.
[25:34.480 --> 25:38.640]  If we allow this type of treason to continue, we're going to pay the price.
[25:38.640 --> 25:43.160]  If we buy these slave goods, it is going to come back on us, and it's already coming
[25:43.160 --> 25:44.700]  back on us today.
[25:44.700 --> 25:49.360]  They think of us all as absolute abject slaves.
[25:49.360 --> 25:54.320]  The only way to avert the police state that is coming on full bore is to illuminate, to
[25:54.320 --> 25:58.880]  put light on who really controls the system, because a slave doesn't even know who rules
[25:58.880 --> 25:59.880]  them.
[25:59.880 --> 26:05.360]  Information is the key.
[26:05.360 --> 26:10.200]  We're doing a story for KJFK radio and film, and I'm not going hiking, I'll probably only
[26:10.200 --> 26:13.000]  be here about an hour, but I still need to pay.
[26:13.000 --> 26:14.000]  How much is it?
[26:14.000 --> 26:15.000]  $20.
[26:15.000 --> 26:24.200]  We're doing a story on your file, sir, for KJFK radio.
[26:24.200 --> 26:26.000]  Public television in Austin, Texas.
[26:26.000 --> 26:27.000]  Okay, leave.
[26:27.000 --> 26:28.000]  I can?
[26:28.000 --> 26:29.000]  Go ahead.
[26:29.000 --> 26:30.000]  Thanks.
[26:30.000 --> 26:31.000]  Cool.
[26:31.000 --> 26:37.000]  When we got to the Grand Canyon, it was so majestic that I almost forgot what we were
[26:37.000 --> 26:38.000]  there to do.
[26:38.000 --> 26:41.960]  We were there to expose the international takeover of our park lands under the guise
[26:41.960 --> 26:44.000]  of environmentalism.
[26:44.000 --> 26:48.600]  It was so majestic, so expansive, and it brought back childhood memories of when I had been
[26:48.600 --> 26:50.360]  there with my parents.
[26:50.360 --> 26:54.800]  That made me only want to fight more.
[26:54.800 --> 27:01.560]  I'm standing here in Northern Arizona, overlooking the beautiful Grand Canyon, one of America's
[27:01.560 --> 27:07.640]  most beautiful treasures, and it's very distressing to me and other patriots and people that truly
[27:07.640 --> 27:12.560]  do care about the environment in America, that Bill Clinton, with his executive order
[27:12.560 --> 27:21.520]  January 19, 1996, number 12,986, began the precedent to sign over our national treasures
[27:21.520 --> 27:22.800]  to international control.
[27:22.800 --> 27:28.720]  Yes, this is a international biosphere and world heritage site, and guess who controls
[27:28.720 --> 27:29.720]  those?
[27:29.720 --> 27:32.200]  The United Nations.
[27:32.200 --> 27:36.240]  The United Nations is nothing more than a front group for international banks based
[27:36.240 --> 27:38.480]  in Europe and in America.
[27:38.480 --> 27:40.380]  They care nothing about the environment.
[27:40.380 --> 27:46.160]  They care about using it as an excuse to tell you how you can use the environment, to get
[27:46.160 --> 27:52.360]  you used to listening to what they say and what you can do and what you can use.
[27:52.360 --> 27:57.320]  I'm sure you all have all heard, they're planning to restrict cars to the Grand Canyon and bring
[27:57.320 --> 27:58.720]  buses in quite soon.
[27:58.720 --> 28:03.880]  Well, I'm here during peak season at the end of the summer, and I don't see any problem
[28:03.880 --> 28:06.400]  with Americans coming to the Grand Canyon.
[28:06.400 --> 28:11.200]  They're paying exorbitant prices of $20 a car.
[28:11.200 --> 28:18.040]  Wake up and understand that large corporations think in a long term game.
[28:18.040 --> 28:22.240]  They understand that if they can restrict use to this place and get international control
