[00:00.000 --> 00:05.280]  The answer to 1984 is 1776.
[35:25.480 --> 35:53.480]  Music plays
[35:53.480 --> 36:21.480]  Music plays
[36:21.480 --> 36:49.480]  Music plays
[36:49.480 --> 37:17.480]  Music plays
[37:17.480 --> 37:45.480]  Music plays
[37:45.480 --> 38:13.480]  Music plays
[38:13.480 --> 38:41.480]  Music plays
[38:41.480 --> 39:09.480]  Music plays
[39:09.480 --> 39:37.480]  Music plays
[39:37.480 --> 40:05.480]  Music plays
[40:05.480 --> 40:33.480]  Music plays
[40:33.480 --> 41:01.480]  Music plays
[41:01.480 --> 41:29.480]  Music plays
[41:29.480 --> 41:57.480]  Music plays
[41:57.480 --> 42:25.480]  Music plays
[42:25.480 --> 42:53.480]  Music plays
[42:53.480 --> 43:21.480]  Music plays
[43:21.480 --> 43:49.480]  Music plays
[43:49.480 --> 44:17.480]  Music plays
[44:17.480 --> 44:45.480]  Music plays
[44:45.480 --> 45:01.480]  Music plays
[45:01.480 --> 45:13.480]  Music plays
[45:13.480 --> 45:41.480]  Music plays
[45:41.480 --> 46:09.480]  Music plays
[46:09.480 --> 46:37.480]  Music plays
[46:37.480 --> 47:05.480]  Music plays
[47:05.480 --> 47:33.480]  Music plays
[47:33.480 --> 47:49.480]  Music plays
[47:49.480 --> 48:01.480]  Music plays
[48:01.480 --> 48:29.480]  Music plays
[48:29.480 --> 48:57.480]  Music plays
[48:57.480 --> 49:25.480]  Music plays
[49:25.480 --> 49:53.480]  Music plays
[49:53.480 --> 50:21.480]  Music plays
[50:21.480 --> 50:49.480]  Music plays
[50:49.480 --> 51:17.480]  Music plays
[51:17.480 --> 51:45.480]  Music plays
[51:45.480 --> 52:13.480]  Music plays
[52:13.480 --> 52:41.480]  Music plays
[52:41.480 --> 53:09.480]  Music plays
[53:09.480 --> 53:37.480]  Music plays
[53:37.480 --> 54:05.480]  Music plays
[54:05.480 --> 54:33.480]  Music plays
[54:33.480 --> 55:01.480]  Music plays
[55:01.480 --> 55:29.480]  Music plays
[55:29.480 --> 55:57.480]  Music plays
[55:57.480 --> 56:25.480]  Music plays
[56:25.480 --> 56:53.480]  Music plays
[56:53.480 --> 57:21.480]  Music plays
[57:21.480 --> 57:49.480]  Music plays
[57:49.480 --> 58:17.480]  Music plays
[58:17.480 --> 58:45.480]  Music plays
[58:45.480 --> 59:13.480]  Music plays
[59:13.480 --> 59:41.480]  Music plays
[59:41.480 --> 01:00:09.480]  Music plays
[01:00:09.480 --> 01:00:37.480]  Music plays
[01:00:37.480 --> 01:01:05.480]  Music plays
[01:01:05.480 --> 01:01:33.480]  Music plays
[01:01:33.480 --> 01:02:01.480]  Music plays
[01:02:01.480 --> 01:02:29.480]  Music plays
[01:02:29.480 --> 01:02:57.480]  Music plays
[01:02:57.480 --> 01:03:25.480]  Music plays
[01:03:25.480 --> 01:03:53.480]  Music plays
[01:03:53.480 --> 01:04:21.480]  Music plays
[01:04:21.480 --> 01:04:37.480]  Music plays
[01:04:37.480 --> 01:04:49.480]  Music plays
[01:04:49.480 --> 01:05:17.480]  Music plays
[01:05:17.480 --> 01:05:45.480]  Music plays
[01:05:45.480 --> 01:06:11.480]  Music plays
[01:06:11.480 --> 01:06:39.480]  Music plays
[01:06:39.480 --> 01:07:07.480]  Music plays
[01:07:07.480 --> 01:07:35.480]  Music plays
[01:07:35.480 --> 01:08:03.480]  Music plays
[01:08:03.480 --> 01:08:31.480]  Music plays
[01:08:31.480 --> 01:08:59.480]  Music plays
[01:08:59.480 --> 01:09:27.480]  Music plays
[01:09:27.480 --> 01:09:55.480]  Music plays
[01:09:55.480 --> 01:10:23.480]  Music plays
[01:10:23.480 --> 01:10:51.480]  Music plays
[01:10:51.480 --> 01:11:19.480]  Music plays
[01:11:19.480 --> 01:11:47.480]  Music plays
[01:11:47.480 --> 01:12:15.480]  Music plays
[01:12:15.480 --> 01:12:43.480]  Music plays
[01:12:43.480 --> 01:13:11.480]  Music plays
[01:13:11.480 --> 01:13:39.480]  Music plays
[01:13:39.480 --> 01:14:07.480]  Music plays
[01:14:07.480 --> 01:14:35.480]  Music plays
[01:14:35.480 --> 01:15:03.480]  Music plays
[01:15:03.480 --> 01:15:31.480]  Music plays
[01:15:31.480 --> 01:15:59.480]  Music plays
[01:15:59.480 --> 01:16:25.480]  Music plays
[01:16:25.480 --> 01:16:53.480]  Music plays
[01:16:53.480 --> 01:17:21.480]  Music plays
[01:17:21.480 --> 01:17:49.480]  Music plays
[01:17:49.480 --> 01:18:17.480]  Music plays
[01:18:17.480 --> 01:18:45.480]  Music plays
[01:18:45.480 --> 01:19:13.480]  Music plays
[01:19:13.480 --> 01:19:41.480]  Music plays
[01:19:41.480 --> 01:20:07.480]  Music plays
[01:20:07.480 --> 01:20:35.480]  Music plays
[01:20:35.480 --> 01:21:03.480]  Music plays
[01:21:03.480 --> 01:21:31.480]  Music plays
[01:21:31.480 --> 01:21:59.480]  Music plays
[01:21:59.480 --> 01:22:27.480]  Music plays
[01:22:27.480 --> 01:22:55.480]  Music plays
[01:22:55.480 --> 01:23:23.480]  Music plays
[01:23:23.480 --> 01:23:51.480]  Music plays
[01:23:51.480 --> 01:24:19.480]  Music plays
[01:24:19.480 --> 01:24:47.480]  Music plays
[01:24:47.480 --> 01:25:15.480]  Music plays
[01:25:15.480 --> 01:25:43.480]  Music plays
[01:25:43.480 --> 01:26:11.480]  Music plays
[01:26:11.480 --> 01:26:39.480]  Music plays
[01:26:39.480 --> 01:27:07.480]  Music plays
[01:27:07.480 --> 01:27:35.480]  Music plays
[01:27:35.480 --> 01:28:03.480]  Music plays
[01:28:03.480 --> 01:28:31.480]  Music plays
[01:28:31.480 --> 01:28:55.480]  Music plays
[01:28:55.480 --> 01:29:23.480]  Music plays
[01:29:23.480 --> 01:29:51.480]  Music plays
[01:29:51.480 --> 01:30:19.480]  Music plays
[01:30:19.480 --> 01:30:47.480]  Music plays
[01:30:47.480 --> 01:31:15.480]  Music plays
[01:31:15.480 --> 01:31:43.480]  Music plays
[01:31:43.480 --> 01:31:59.480]  Music plays
[01:31:59.480 --> 01:32:11.480]  Music plays
[01:32:11.480 --> 01:32:39.480]  Music plays
[01:32:39.480 --> 01:33:07.480]  Music plays
[01:33:07.480 --> 01:33:17.480]  Music plays
[01:33:17.480 --> 01:33:27.480]  Music plays
[01:33:27.480 --> 01:33:35.480]  Music plays
[01:33:35.480 --> 01:34:03.480]  Music plays
[01:34:03.480 --> 01:34:31.480]  Music plays
[01:34:31.480 --> 01:34:59.480]  Music plays
[01:34:59.480 --> 01:35:27.480]  Music plays
[01:35:27.480 --> 01:35:55.480]  Music plays
[01:35:55.480 --> 01:36:23.480]  Music plays
[01:36:23.480 --> 01:36:51.480]  Music plays
[01:36:51.480 --> 01:37:07.480]  Music plays
[01:37:07.480 --> 01:37:19.480]  Music plays
[01:37:19.480 --> 01:37:47.480]  Music plays
[01:37:47.480 --> 01:38:15.480]  Music plays
[01:38:15.480 --> 01:38:43.480]  Music plays
[01:38:43.480 --> 01:39:11.480]  Music plays
[01:39:11.480 --> 01:39:39.480]  Music plays
[01:39:39.480 --> 01:40:07.480]  Music plays
[01:40:07.480 --> 01:40:35.480]  Music plays
[01:40:35.480 --> 01:41:03.480]  Music plays
[01:41:03.480 --> 01:41:31.480]  Music plays
[01:41:31.480 --> 01:41:59.480]  Music plays
[01:41:59.480 --> 01:42:27.480]  Music plays
[01:42:27.480 --> 01:42:55.480]  Music plays
[01:42:55.480 --> 01:43:23.480]  Music plays
[01:43:23.480 --> 01:43:51.480]  Music plays
[01:43:51.480 --> 01:44:19.480]  Music plays
[01:44:19.480 --> 01:44:47.480]  Music plays
[01:44:47.480 --> 01:45:15.480]  Music plays
[01:45:15.480 --> 01:45:43.480]  Music plays
[01:45:43.480 --> 01:46:11.480]  Music plays
[01:46:11.480 --> 01:46:39.480]  Music plays
[01:46:39.480 --> 01:47:07.480]  Music plays
[01:47:07.480 --> 01:47:35.480]  Music plays
[01:47:35.480 --> 01:48:03.480]  Music plays
[01:48:03.480 --> 01:48:11.480]  Music plays
[01:48:11.480 --> 01:48:39.480]  Music plays
[01:48:39.480 --> 01:49:07.480]  Music plays
[01:49:07.480 --> 01:49:35.480]  Music plays
[01:49:35.480 --> 01:50:03.480]  Music plays
[01:50:03.480 --> 01:50:31.480]  Music plays
[01:50:31.480 --> 01:50:35.480]  Music plays
[01:50:35.480 --> 01:50:51.480]  Music plays
[01:50:51.480 --> 01:50:59.480]  Music plays
[01:50:59.480 --> 01:51:27.480]  Music plays
[01:51:27.480 --> 01:51:55.480]  Music plays
[01:51:55.480 --> 01:52:23.480]  Music plays
[01:52:23.480 --> 01:52:51.480]  Music plays
[01:52:51.480 --> 01:53:19.480]  Music plays
[01:53:19.480 --> 01:53:47.480]  Music plays
[01:53:47.480 --> 01:54:15.480]  Music plays
[01:54:15.480 --> 01:54:43.480]  Music plays
[01:54:43.480 --> 01:55:11.480]  Music plays
[01:55:11.480 --> 01:55:39.480]  Music plays
[01:55:39.480 --> 01:56:07.480]  Music plays
[01:56:07.480 --> 01:56:35.480]  Music plays
[01:56:35.480 --> 01:57:03.480]  Music plays
[01:57:03.480 --> 01:57:31.480]  Music plays
[01:57:31.480 --> 01:57:59.480]  Music plays
[01:57:59.480 --> 01:58:27.480]  Music plays
[01:58:27.480 --> 01:58:55.480]  Music plays
[01:58:55.480 --> 01:59:23.480]  Music plays
[01:59:23.480 --> 01:59:49.480]  Music plays
[01:59:49.480 --> 02:00:13.480]  Music plays
[02:00:13.480 --> 02:00:21.480]  Music plays
[02:00:21.480 --> 02:00:41.480]  Music plays
[02:00:41.480 --> 02:01:09.480]  Music plays
[02:01:09.480 --> 02:01:37.480]  Music plays
[02:01:37.480 --> 02:02:05.480]  Music plays
[02:02:05.480 --> 02:02:33.480]  Music plays
[02:02:33.480 --> 02:03:01.480]  Music plays
[02:03:01.480 --> 02:03:29.480]  Music plays
[02:03:29.480 --> 02:03:57.480]  Music plays
[02:03:57.480 --> 02:04:25.480]  Music plays
[02:04:25.480 --> 02:04:53.480]  Music plays
[02:04:53.480 --> 02:05:21.480]  Music plays
[02:05:21.480 --> 02:05:49.480]  Music plays
[02:05:49.480 --> 02:06:17.480]  Music plays
[02:06:17.480 --> 02:06:45.480]  Music plays
[02:06:45.480 --> 02:07:13.480]  Music plays
[02:07:13.480 --> 02:07:41.480]  Music plays
[02:07:41.480 --> 02:08:09.480]  Music plays
[02:08:09.480 --> 02:08:37.480]  Music plays
[02:08:37.480 --> 02:09:05.480]  Music plays
[02:09:05.480 --> 02:09:33.480]  Music plays
[02:09:33.480 --> 02:10:01.480]  Music plays
[02:10:01.480 --> 02:10:29.480]  Music plays
[02:10:29.480 --> 02:10:57.480]  Music plays
[02:10:57.480 --> 02:11:25.480]  Music plays
[02:11:25.480 --> 02:11:53.480]  Music plays
[02:11:53.480 --> 02:12:21.480]  Music plays
[02:12:21.480 --> 02:12:49.480]  Music plays
[02:12:49.480 --> 02:13:17.480]  Music plays
[02:13:17.480 --> 02:13:45.480]  Music plays
[02:13:45.480 --> 02:14:13.480]  Music plays
[02:14:13.480 --> 02:14:41.480]  Music plays
[02:14:41.480 --> 02:15:09.480]  Music plays
[02:15:09.480 --> 02:15:37.480]  Music plays
[02:15:37.480 --> 02:15:53.480]  Music plays
[02:15:53.480 --> 02:16:05.480]  Music plays
[02:16:05.480 --> 02:16:33.480]  Music plays
[02:16:33.480 --> 02:16:53.480]  Music plays
[02:17:03.480 --> 02:17:23.480]  Music plays
[02:17:33.480 --> 02:17:55.480]  Music plays
[02:17:55.480 --> 02:18:23.480]  Music plays
[02:18:23.480 --> 02:18:51.480]  Music plays
[02:18:51.480 --> 02:19:19.480]  Music plays
[02:19:19.480 --> 02:19:47.480]  Music plays
[02:19:47.480 --> 02:20:03.480]  Music plays
[02:20:03.480 --> 02:20:15.480]  Music plays
[02:20:15.480 --> 02:20:21.480]  Music plays
[02:20:21.480 --> 02:20:43.480]  Music plays
[02:20:43.480 --> 02:21:11.480]  Music plays
[02:21:11.480 --> 02:21:39.480]  Music plays
[02:21:39.480 --> 02:22:07.480]  Music plays
[02:22:07.480 --> 02:22:35.480]  Music plays
[02:22:35.480 --> 02:23:03.480]  Music plays
[02:23:03.480 --> 02:23:31.480]  Music plays
[02:23:31.480 --> 02:23:59.480]  Music plays
[02:23:59.480 --> 02:24:27.480]  Music plays
[02:24:27.480 --> 02:24:55.480]  Music plays
[02:24:55.480 --> 02:25:23.480]  Music plays
[02:25:23.480 --> 02:25:51.480]  Music plays
[02:25:51.480 --> 02:26:19.480]  Music plays
[02:26:19.480 --> 02:26:47.480]  Music plays
[02:26:47.480 --> 02:27:15.480]  Music plays
[02:27:15.480 --> 02:27:43.480]  Music plays
[02:27:43.480 --> 02:28:11.480]  Music plays
[02:28:11.480 --> 02:28:39.480]  Music plays
[02:28:39.480 --> 02:28:55.480]  Music plays
[02:28:55.480 --> 02:29:07.480]  Music plays
[02:29:07.480 --> 02:29:35.480]  Music plays
[02:29:35.480 --> 02:30:03.480]  Music plays
[02:30:03.480 --> 02:30:31.480]  Music plays
[02:30:31.480 --> 02:30:59.480]  Music plays
[02:30:59.480 --> 02:31:27.480]  Music plays
[02:31:27.480 --> 02:31:55.480]  Music plays
[02:31:55.480 --> 02:32:23.480]  Music plays
[02:32:23.480 --> 02:32:51.480]  Music plays
[02:32:51.480 --> 02:33:19.480]  Music plays
[02:33:19.480 --> 02:33:31.480]  Music plays
[02:33:31.480 --> 02:33:47.480]  Music plays
[02:33:47.480 --> 02:34:15.480]  Music plays
[02:34:15.480 --> 02:34:43.480]  Music plays
[02:34:43.480 --> 02:35:11.480]  Music plays
[02:35:11.480 --> 02:35:39.480]  Music plays
[02:35:39.480 --> 02:36:07.480]  Music plays
[02:36:07.480 --> 02:36:35.480]  Music plays
[02:36:35.480 --> 02:37:03.480]  Music plays
[02:37:03.480 --> 02:37:31.480]  Music plays
[02:37:31.480 --> 02:37:59.480]  Music plays
[02:37:59.480 --> 02:38:27.480]  Music plays
[02:38:27.480 --> 02:38:55.480]  Music plays
[02:38:55.480 --> 02:39:23.480]  Music plays
[02:39:23.480 --> 02:39:51.480]  Music plays
[02:39:51.480 --> 02:40:19.480]  Music plays
[02:40:19.480 --> 02:40:47.480]  Music plays
[02:40:47.480 --> 02:41:15.480]  Music plays
[02:41:15.480 --> 02:41:43.480]  Music plays
[02:41:43.480 --> 02:42:11.480]  Music plays
[02:42:11.480 --> 02:42:39.480]  Music plays
[02:42:39.480 --> 02:43:07.480]  Music plays
[02:43:07.480 --> 02:43:35.480]  Music plays
[02:43:35.480 --> 02:44:03.480]  Music plays
[02:44:03.480 --> 02:44:31.480]  Music plays
[02:44:31.480 --> 02:44:59.480]  Music plays
[02:44:59.480 --> 02:45:27.480]  Music plays
[02:45:27.480 --> 02:45:55.480]  Music plays
[02:45:55.480 --> 02:46:23.480]  Music plays
[02:46:23.480 --> 02:46:51.480]  Music plays
[02:46:51.480 --> 02:47:19.480]  Music plays
[02:47:19.480 --> 02:47:47.480]  Music plays
[02:47:47.480 --> 02:48:15.480]  Music plays
[02:48:15.480 --> 02:48:43.480]  Music plays
[02:48:43.480 --> 02:49:11.480]  Music plays
[02:49:11.480 --> 02:49:39.480]  Music plays
[02:49:39.480 --> 02:50:07.480]  Music plays
[02:50:07.480 --> 02:50:35.480]  Music plays
[02:50:35.480 --> 02:51:03.480]  Music plays
[02:51:03.480 --> 02:51:31.480]  Music plays
[02:51:31.480 --> 02:51:59.480]  Music plays
[02:51:59.480 --> 02:52:27.480]  Music plays
[02:52:27.480 --> 02:52:55.480]  Music plays
[02:52:55.480 --> 02:53:23.480]  Music plays
[02:53:23.480 --> 02:53:51.480]  Music plays
[02:53:51.480 --> 02:54:19.480]  Music plays
[02:54:19.480 --> 02:54:47.480]  Music plays
[02:54:47.480 --> 02:55:15.480]  Music plays
[02:55:15.480 --> 02:55:43.480]  Music plays
[02:55:43.480 --> 02:56:11.480]  Music plays
[02:56:11.480 --> 02:56:39.480]  Music plays
[02:56:39.480 --> 02:57:07.480]  Music plays
[02:57:07.480 --> 02:57:35.480]  Music plays
[02:57:35.480 --> 02:58:03.480]  Music plays
[02:58:03.480 --> 02:58:31.480]  Music plays
[02:58:31.480 --> 02:58:59.480]  Music plays
[02:58:59.480 --> 02:59:27.480]  Music plays
[02:59:27.480 --> 02:59:55.480]  Music plays
[02:59:55.480 --> 03:00:23.480]  Music plays
[03:00:23.480 --> 03:00:51.480]  Music plays
[03:00:51.480 --> 03:01:19.480]  Music plays
[03:01:19.480 --> 03:01:47.480]  Music plays
[03:01:47.480 --> 03:02:15.480]  Music plays
[03:02:15.480 --> 03:02:43.480]  Music plays
[03:02:43.480 --> 03:03:11.480]  Music plays
[03:03:11.480 --> 03:03:39.480]  Music plays
[03:03:39.480 --> 03:04:07.480]  Music plays
[03:04:07.480 --> 03:04:35.480]  Music plays
[03:04:35.480 --> 03:05:03.480]  Music plays
[03:05:03.480 --> 03:05:31.480]  Music plays
[03:05:31.480 --> 03:05:53.480]  Music plays
[03:05:53.480 --> 03:06:21.480]  Music plays
[03:06:21.480 --> 03:06:49.480]  Music plays
[03:06:49.480 --> 03:07:17.480]  Music plays
[03:07:17.480 --> 03:07:45.480]  Music plays
[03:07:45.480 --> 03:08:13.480]  Music plays
[03:08:13.480 --> 03:08:41.480]  Music plays
[03:08:41.480 --> 03:09:09.480]  Music plays
[03:09:09.480 --> 03:09:37.480]  Music plays
[03:09:37.480 --> 03:10:05.480]  Music plays
[03:10:05.480 --> 03:10:33.480]  Music plays
[03:10:33.480 --> 03:11:01.480]  Music plays
[03:11:01.480 --> 03:11:29.480]  Music plays
[03:11:29.480 --> 03:11:57.480]  Music plays
[03:11:57.480 --> 03:12:25.480]  Music plays
[03:12:25.480 --> 03:12:53.480]  Music plays
[03:12:53.480 --> 03:13:21.480]  Music plays
[03:13:21.480 --> 03:13:49.480]  Music plays
[03:13:49.480 --> 03:14:17.480]  Music plays
[03:14:17.480 --> 03:14:45.480]  Music plays
[03:14:45.480 --> 03:15:13.480]  Music plays
[03:15:13.480 --> 03:15:41.480]  Music plays
[03:15:41.480 --> 03:15:51.480]  Music plays
[03:16:11.480 --> 03:16:39.480]  Music plays
[03:16:39.480 --> 03:16:55.480]  Music plays
[03:16:55.480 --> 03:17:07.480]  Music plays
[03:17:07.480 --> 03:17:35.480]  Music plays
[03:17:35.480 --> 03:18:03.480]  Music plays
[03:18:03.480 --> 03:18:31.480]  Music plays
[03:18:31.480 --> 03:18:59.480]  Music plays
[03:18:59.480 --> 03:19:27.480]  Music plays
[03:19:27.480 --> 03:19:55.480]  Music plays
[03:19:55.480 --> 03:20:23.480]  Music plays
[03:20:23.480 --> 03:20:51.480]  Music plays
[03:20:51.480 --> 03:21:19.480]  Music plays
[03:21:19.480 --> 03:21:47.480]  Music plays
[03:21:47.480 --> 03:22:15.480]  Music plays
[03:22:15.480 --> 03:22:43.480]  Music plays
[03:22:43.480 --> 03:23:11.480]  Music plays
[03:23:11.480 --> 03:23:39.480]  Music plays
[03:23:39.480 --> 03:24:07.480]  Music plays
[03:24:07.480 --> 03:24:35.480]  Music plays
[03:24:35.480 --> 03:25:03.480]  Music plays
[03:25:03.480 --> 03:25:31.480]  Music plays
[03:25:31.480 --> 03:25:59.480]  Music plays
[03:25:59.480 --> 03:26:27.480]  Music plays
[03:26:27.480 --> 03:26:55.480]  Music plays
[03:26:55.480 --> 03:27:23.480]  Music plays
[03:27:23.480 --> 03:27:51.480]  Music plays
[03:27:51.480 --> 03:28:19.480]  Music plays
[03:28:19.480 --> 03:28:47.480]  Music plays
[03:28:47.480 --> 03:29:15.480]  Music plays
[03:29:15.480 --> 03:29:43.480]  Music plays
[03:29:43.480 --> 03:30:11.480]  Music plays
[03:30:11.480 --> 03:30:39.480]  Music plays
