[00:00.000 --> 00:20.000]  Music
[05:41.160 --> 05:45.160]  We are repeating what happened in 1933 Germany.
[05:45.160 --> 05:47.160]  My friends, it's up to you.
[05:47.160 --> 05:51.160]  In the next two hours, again, you're going to see the documentation.
[05:51.160 --> 05:58.160]  It's irrefutable and I challenge you to research the information you'll see born out in this documentary.
[05:58.160 --> 06:02.160]  Here are just a few of the scenes you'll see in the next two hours.
[06:02.160 --> 06:07.160]  So sit back and educate yourselves about what's happening to our nation.
[06:07.160 --> 06:11.160]  As I said, it is a battle for the republic.
[06:11.160 --> 06:13.160]  What are you doing, sir?
[06:13.160 --> 06:15.160]  Having a good time?
[06:15.160 --> 06:18.160]  How's it going over at the camp?
[06:18.160 --> 06:24.160]  I'm feeling well. The guys are doing a bit of exercise now.
[06:24.160 --> 06:26.160]  They're doing very well.
[06:26.160 --> 06:30.160]  So the camp situation is going good with the disarmament and things?
[06:30.160 --> 06:31.160]  Oh, yeah.
[06:31.160 --> 06:33.160]  Because we saw them over there disarming people. Is that what the exercise is?
[06:33.160 --> 06:35.160]  They're exercising now, yeah.
[06:35.160 --> 06:37.160]  Fantastic. Where are you from, sir?
[06:37.160 --> 06:38.160]  Holland.
[06:38.160 --> 06:39.160]  Oh, okay.
[06:39.160 --> 06:40.160]  From the best Marines.
[06:40.160 --> 06:52.160]  Fantastic.
[06:52.160 --> 07:04.160]  Get up! Get up!
[07:04.160 --> 07:11.160]  No! We're in crime!
[07:11.160 --> 07:32.160]  Lady!
[07:32.160 --> 07:35.160]  I need to get to the town mayor. She's in a meeting.
[07:35.160 --> 07:37.160]  Okay, let's go and bring those two in.
[07:37.160 --> 07:39.160]  Do you need a message from that person?
[07:39.160 --> 07:40.160]  Not a message.
[07:40.160 --> 07:41.160]  Yeah, we're going to get fed.
[07:41.160 --> 07:42.160]  Thank you.
[07:42.160 --> 07:43.160]  You need to get fed.
[07:43.160 --> 07:45.160]  Let us out, let us out.
[07:45.160 --> 08:03.160]  I need to get through.
[08:03.160 --> 08:19.160]  Attention, attention, attention.
[08:19.160 --> 08:23.160]  American forces are here to help. Remain calm.
[08:23.160 --> 08:26.160]  We will not tolerate civil disobedience.
[08:26.160 --> 08:28.160]  What do you see? What do you hear?
[08:28.160 --> 08:34.160]  Well, they were throwing some bombs, you know, bombing.
[08:34.160 --> 08:35.160]  Right.
[08:35.160 --> 08:38.160]  Yeah. And some, I think they were using some rifles too.
[08:38.160 --> 08:42.160]  And the other kind of rifles, you know, the one you just, you know, stuff like that.
[08:42.160 --> 08:47.160]  Looking at your windows, seeing unmarked helicopters and troops dressed in
[08:47.160 --> 09:07.160]  ninja black suit with a bow rifle. It's kind of spooky.
[09:07.160 --> 09:12.160]  Hello, Boston SS.
[09:12.160 --> 09:18.160]  I would have said that Alex.
[09:18.160 --> 09:19.160]  Get on.
[09:19.160 --> 09:20.160]  Okay.
[09:20.160 --> 09:21.160]  Get the search lights.
[09:21.160 --> 09:22.160]  Yeah.
[09:22.160 --> 09:23.160]  Hello, my friend.
[09:23.160 --> 09:27.160]  Come on.
[09:27.160 --> 09:31.160]  Warrantless, random searches on America's interstate highways.
[09:31.160 --> 09:35.160]  We think this is good a place as any to start our story.
[09:35.160 --> 09:37.160]  I know what some of you are thinking though.
[09:37.160 --> 09:41.160]  You're thinking, hey, there must have been a child molester or an axe murderer loose.
[09:41.160 --> 09:46.160]  You know, my friends, these are warrantless, random searches.
[09:46.160 --> 09:51.160]  All part of being guilty until proven innocent.
[09:51.160 --> 09:53.160]  The checkpoints.
[09:53.160 --> 09:59.160]  Brought to you by something as innocuous, at least seemingly as the presidential
[09:59.160 --> 10:03.160]  initiative on seatbelt use.
[10:03.160 --> 10:11.160]  The Clinton administration's supposed liberals allotted over 2 billion plus dollars for
[10:11.160 --> 10:16.160]  1999 alone for nationwide Nazi behavior.
[10:16.160 --> 10:19.160]  But not just the socialist and the Democratic Party.
[10:19.160 --> 10:20.160]  Oh, no.
[10:20.160 --> 10:26.160]  The Republicans and the Supreme Court have been backing warrantless searches of
[10:26.160 --> 10:30.160]  anybody the police feel like pulling over and harassing.
[10:30.160 --> 10:35.160]  In a police state, police don't have to work very hard, but in a republic and a
[10:35.160 --> 10:37.160]  country with freedom, they do.
[10:37.160 --> 10:39.160]  This is not an attack on the police.
[10:39.160 --> 10:42.160]  It's a cry for help to every American.
[10:42.160 --> 10:46.160]  Now we're about to go out and speak to some of the police and expose what they're
[10:46.160 --> 10:51.160]  doing and hopefully reactivate their conscience.
[10:51.160 --> 10:54.160]  We are entering the eye of the checkpoint.
[10:54.160 --> 10:57.160]  Caution, reduce speed, checkpoint ahead.
[10:57.160 --> 10:59.160]  Isn't that loving, children?
[10:59.160 --> 11:09.160]  A nice big generator running that.
[11:09.160 --> 11:12.160]  Well, here's the love, ladies and gentlemen.
[11:12.160 --> 11:13.160]  America.
[11:13.160 --> 11:15.160]  Here to take care of you.
[11:15.160 --> 11:18.160]  This happens all the time, right here in Austin, Texas.
[11:18.160 --> 11:21.160]  Just south Austin to be exact.
[11:21.160 --> 11:25.160]  Well, there's the command unit over there.
[11:25.160 --> 11:28.160]  Nice big Winnebago.
[11:28.160 --> 11:40.160]  Ah, shine their lights in people's face.
[11:40.160 --> 11:46.160]  Hello, Poppin SS.
[11:46.160 --> 11:51.160]  I would have said that, Alex.
[11:51.160 --> 11:52.160]  I got it.
[11:52.160 --> 11:54.160]  Get the search lines.
[11:54.160 --> 11:59.160]  Yeah, my friend.
[11:59.160 --> 12:03.160]  We're going to go back through the gauntlet and we've got them just pulling them back,
[12:03.160 --> 12:06.160]  pulling them off down there, pulling them off here, all part of Bill Clinton's funding
[12:06.160 --> 12:09.160]  and they love it.
[12:09.160 --> 12:10.160]  We're exiting.
[12:10.160 --> 12:11.160]  We're turning around.
[12:11.160 --> 12:13.160]  We're going down the access road this time.
[12:13.160 --> 12:17.160]  There's another one right there.
[12:17.160 --> 12:23.160]  Look at the traffic they got back there.
[12:23.160 --> 12:24.160]  Guys, here we go.
[12:24.160 --> 12:27.160]  Look at the traffic they got backed up.
[12:27.160 --> 12:29.160]  It is monumental.
[12:29.160 --> 12:31.160]  This night vision camera comes in.
[12:31.160 --> 12:34.160]  Just line it up.
[12:34.160 --> 12:37.160]  Oh my God, we are in a police day.
[12:37.160 --> 12:41.160]  All right, let's go.
[12:41.160 --> 12:44.160]  Get it, get it.
[12:44.160 --> 12:45.160]  Oh, yes, sir.
[12:45.160 --> 12:46.160]  I'm a syndicated talk show host.
[12:46.160 --> 12:47.160]  I'll also make documentaries.
[12:47.160 --> 12:52.160]  I'm out here covering this.
[12:52.160 --> 12:54.160]  Let's walk on down, Hanson.
[12:54.160 --> 12:56.160]  You lead the way.
[12:56.160 --> 13:00.160]  I'm sure to come over here in a second.
[13:00.160 --> 13:04.160]  Hey, this night vision works good.
[13:04.160 --> 13:07.160]  Here it is, my friends, America.
[13:07.160 --> 13:13.160]  $2.4 billion by Bill Clinton 1999 for federal checkpoints, federal funding.
[13:13.160 --> 13:18.160]  You're seeing MJTF right now, police from all different counties in central Texas and Austin
[13:18.160 --> 13:21.160]  working together, bringing you to police state.
[13:21.160 --> 13:22.160]  It's a lot worse.
[13:22.160 --> 13:24.160]  The war against guns is raging.
[13:24.160 --> 13:37.160]  We're in 1936 Germany right now.
[13:37.160 --> 13:38.160]  I'm going to try to interview one.
[13:38.160 --> 13:40.160]  How much time we got left on the battery?
[13:40.160 --> 13:41.160]  57.
[13:41.160 --> 13:42.160]  Here we go, guys.
[13:42.160 --> 13:49.160]  We're getting shined on right here.
[13:49.160 --> 13:53.160]  We're getting a lot shined on us by the black uniforms, everything.
[13:53.160 --> 13:54.160]  This is incredible.
[13:54.160 --> 13:57.160]  This is incredible.
[13:57.160 --> 14:03.160]  Look at that aggressive behavior.
[14:03.160 --> 14:06.160]  Guys, America is in deep trouble.
[14:06.160 --> 14:08.160]  Hey, are y'all MJTF?
[14:08.160 --> 14:11.160]  Is this an MJTF operation?
[14:11.160 --> 14:14.160]  Oh, this is cheap.
[14:14.160 --> 14:20.160]  Do you even know where this funding comes from?
[14:20.160 --> 14:26.160]  Yeah, this stuff is real, sir.
[14:26.160 --> 14:28.160]  And y'all can rationalize what you're doing.
[14:28.160 --> 14:31.160]  There'll be more decisions for you in the future.
[14:31.160 --> 14:35.160]  We made it out there at about 11 p.m.
[14:35.160 --> 14:40.160]  The checkpoint had been going since 6 p.m. that night during peak traffic time on IH 35.
[14:40.160 --> 14:45.160]  So we walked on over and asked the officers a few questions, just to find out if they
[14:45.160 --> 14:47.160]  had any idea what they were engaging in.
[14:47.160 --> 14:51.160]  Because remember, this whole thing is run out of ignorance.
[14:51.160 --> 14:52.160]  How you doing?
[14:52.160 --> 14:55.160]  My name's Alex Jones, and I'm here to talk to you all.
[14:55.160 --> 14:56.160]  How you doing?
[14:56.160 --> 14:57.160]  Thank you very much.
[14:57.160 --> 15:02.160]  We're just curious about the different details of this multi-jurisdictional task force operation here.
[15:02.160 --> 15:05.160]  Or is this just an Austin operation?
[15:05.160 --> 15:10.160]  Where is he?
[15:10.160 --> 15:13.160]  We can talk to him in about two minutes.
[15:13.160 --> 15:15.160]  He's the way back by the van.
[15:15.160 --> 15:26.160]  How many people have y'all apprehended?
[15:26.160 --> 15:46.160]  In that sense, you bring in drugs?
[15:46.160 --> 15:47.160]  Oh, that's tough.
[15:47.160 --> 15:49.160]  We're going across the street, sir?
[15:49.160 --> 15:50.160]  Across the street.
[15:50.160 --> 15:52.160]  Alright, so because we're not picking blue bonnet, so we can't be here.
[15:52.160 --> 15:53.160]  Across the street.
[15:53.160 --> 15:56.160]  Understand, thank you very much, I'm picking blue bonnet.
[15:56.160 --> 15:59.160]  You know, I just want to get out of the car.
[15:59.160 --> 16:00.160]  It's so easy.
[16:00.160 --> 16:04.160]  It's not America anymore.
[16:04.160 --> 16:09.160]  Oh, we've been escorted.
[16:09.160 --> 16:12.160]  Well, y'all tell me I can talk to your superior and I'll be waiting over here.
[16:12.160 --> 16:13.160]  Thank you, thank you very much.
[16:13.160 --> 16:14.160]  Like them people, I'm beautiful.
[16:14.160 --> 16:15.160]  Okay, okay.
[16:15.160 --> 16:17.160]  Like, why aren't y'all wearing your combat?
[16:17.160 --> 16:18.160]  Oh, he's wearing his combat boots.
[16:18.160 --> 16:19.160]  Get a shot.
[16:19.160 --> 16:20.160]  We like that.
[16:20.160 --> 16:22.160]  Hey, hey, yeah.
[16:22.160 --> 16:23.160]  We're into the Dexter's Code.
[16:23.160 --> 16:24.160]  You're not beautiful.
[16:24.160 --> 16:25.160]  I'm the head.
[16:25.160 --> 16:26.160]  Who cares about room?
[16:26.160 --> 16:27.160]  We'll split.
[16:27.160 --> 16:40.160]  I'll tell you, this is it, guys.
[16:40.160 --> 16:41.160]  They're laughing.
[16:41.160 --> 16:42.160]  Get shots up.
[16:42.160 --> 16:44.160]  They're over there laughing about this death of this country.
[16:44.160 --> 16:45.160]  Look at them.
[16:45.160 --> 16:48.160]  Over there laughing about the death of our nation.
[16:48.160 --> 16:49.160]  I got it.
[16:49.160 --> 16:51.160]  Over there thinking it's funny.
[16:51.160 --> 16:53.160]  You guys want to clean the drugs off the street?
[16:53.160 --> 16:56.160]  Go after the CIA.
[16:56.160 --> 16:58.160]  You guys want to clean the drugs off the street?
[16:58.160 --> 17:00.160]  Go after the government.
[17:00.160 --> 17:03.160]  I wouldn't use that government bill for a million dollars.
[17:03.160 --> 17:05.160]  But I won't lose my liberties.
[17:05.160 --> 17:09.160]  I got given rights.
[17:09.160 --> 17:11.160]  Total cowards.
[17:11.160 --> 17:14.160]  Total complete cowards.
[17:14.160 --> 17:16.160]  Going along to get along.
[17:16.160 --> 17:20.160]  That is shameful right here in Texas.
[17:20.160 --> 17:22.160]  My God.
[17:22.160 --> 17:25.160]  Yeah, they get their $30,000 to $40,000 a year.
[17:25.160 --> 17:29.160]  They're 20 pieces of silver to sell us down the river.
[17:29.160 --> 17:40.160]  Oh, a pension's in the rest of it.
[17:40.160 --> 17:41.160]  Selling our country out.
[17:41.160 --> 17:42.160]  God.
[17:42.160 --> 17:52.160]  What are we doing, sir?
[17:52.160 --> 17:53.160]  Radio talks you.
[17:53.160 --> 17:54.160]  Now it's Jones.
[17:54.160 --> 17:55.160]  How you doing?
[17:55.160 --> 17:56.160]  What's your name, sir?
[17:56.160 --> 17:57.160]  James.
[17:57.160 --> 17:58.160]  This is night vision camera.
[17:58.160 --> 17:59.160]  Sir, this is reminiscent of Nazi Germany.
[17:59.160 --> 18:00.160]  I'll get somebody to talk to.
[18:00.160 --> 18:02.160]  Well, they were telling us the person in charge would come.
[18:02.160 --> 18:12.160]  I'll get him.
[18:12.160 --> 18:13.160]  Okay.
[18:13.160 --> 18:14.160]  Left.
[18:14.160 --> 18:15.160]  Left.
[18:15.160 --> 18:16.160]  Oh, here we go.
[18:16.160 --> 18:17.160]  Yeah, the Pac-Man mentality.
[18:17.160 --> 18:18.160]  Yes.
[18:18.160 --> 18:19.160]  Yes.
[18:19.160 --> 18:20.160]  Deal with it.
[18:20.160 --> 18:21.160]  Nice crew cut.
[18:21.160 --> 18:22.160]  Why don't you fight for America?
[18:22.160 --> 18:27.160]  We've been asking for an interview for $30,000 to $40,000.
[18:27.160 --> 18:32.160]  And they're just standing over there.
[18:32.160 --> 18:37.160]  And the head guy walked over and then ran off and talked about how there are a bunch of Nazis.
[18:37.160 --> 18:38.160]  I didn't call them Nazis.
[18:38.160 --> 18:40.160]  I just said Nazi-like activities.
[18:40.160 --> 18:46.160]  Nazi-like activities.
[18:46.160 --> 18:48.160]  You know, the whole city, people just love it.
[18:48.160 --> 18:49.160]  Look, I'm shot.
[18:49.160 --> 18:51.160]  Oh, they're shot in the right in their face.
[18:51.160 --> 18:52.160]  Look at that.
[18:52.160 --> 18:54.160]  And he follows them along, too, Alex.
[18:54.160 --> 18:55.160]  Look how they follow him along.
[18:55.160 --> 18:57.160]  Look at that car.
[18:57.160 --> 18:58.160]  So what?
[18:58.160 --> 18:59.160]  Look how he follows them along.
[18:59.160 --> 19:04.160]  Doing a fine job there.
[19:04.160 --> 19:07.160]  People, they wave a little scared sheep.
[19:07.160 --> 19:09.160]  Yeah, I didn't wave.
[19:09.160 --> 19:14.160]  And the reason we didn't wave is because we're not going to sanction this behavior.
[19:14.160 --> 19:20.160]  Culturally, we have to explain that it's not to be condoned because it's a slippery slope,
[19:20.160 --> 19:21.160]  my friends.
[19:21.160 --> 19:24.160]  Doesn't this kind of seem like Nazi Germany to you?
[19:24.160 --> 19:29.160]  I mean, aren't we innocent until proven guilty instead of guilty until proven innocent?
[19:29.160 --> 19:30.160]  I couldn't talk to you about this, sir.
[19:30.160 --> 19:31.160]  I'm just going to do my job.
[19:31.160 --> 19:32.160]  It's just your job?
[19:32.160 --> 19:33.160]  Yes, sir.
[19:33.160 --> 19:34.160]  But hey, well, you know who else said that?
[19:34.160 --> 19:35.160]  Who said that?
[19:35.160 --> 19:36.160]  Well, at Nuremberg.
[19:36.160 --> 19:37.160]  Okay.
[19:37.160 --> 19:39.160]  They just really, let's take a break.
[19:39.160 --> 19:40.160]  All right, thanks.
[19:40.160 --> 19:42.160]  How many folks you pulled over tonight?
[19:42.160 --> 19:45.160]  I don't know what it's in.
[19:45.160 --> 19:50.160]  A lot of traffic stops tonight.
[19:50.160 --> 19:52.160]  Oh, you've made three personally.
[19:52.160 --> 19:54.160]  We appreciate that, sir.
[19:54.160 --> 19:55.160]  Thank you.
[19:55.160 --> 19:57.160]  Well, that's a nice black sedan.
[19:57.160 --> 20:00.160]  You said we don't talk to them.
[20:00.160 --> 20:03.160]  Man, all these federal funds come in for this.
[20:03.160 --> 20:07.160]  I thought in America we're innocent until proven guilty.
[20:07.160 --> 20:10.160]  Are we innocent until proven guilty?
[20:10.160 --> 20:12.160]  Are you guilty of something?
[20:12.160 --> 20:14.160]  No, I'm not guilty of anything.
[20:14.160 --> 20:17.160]  Oh, I thought you were asking me were you innocent until proven guilty?
[20:17.160 --> 20:21.160]  But I mean, aren't we all supposed, you know, in this country, you know, other countries
[20:21.160 --> 20:24.160]  like Germany under Hitler wasn't that way or under Stalin, it wasn't that way.
[20:24.160 --> 20:28.160]  But here in America, aren't we supposed to be innocent until proven guilty?
[20:28.160 --> 20:29.160]  That's true.
[20:29.160 --> 20:30.160]  That's true.
[20:30.160 --> 20:31.160]  There you go.
[20:31.160 --> 20:32.160]  Talk to us.
[20:32.160 --> 20:35.160]  Well, I mean, I don't hate police or anything, but at the same time, you've got to wonder,
[20:35.160 --> 20:39.160]  this is happening all over the country now because the federal funds that are flowing.
[20:39.160 --> 20:42.160]  I mean, isn't that interesting?
[20:42.160 --> 20:44.160]  He's talking to the wrong person.
[20:44.160 --> 20:46.160]  You're talking to the wrong person?
[20:46.160 --> 20:48.160]  He's talking to the wrong person.
[20:48.160 --> 20:51.160]  Gentlemen, what's your name? I'm just curious.
[20:51.160 --> 20:52.160]  Johnson.
[20:52.160 --> 20:54.160]  How you doing, sir?
[20:54.160 --> 20:56.160]  Good to talk to you.
[20:56.160 --> 20:58.160]  Y'all like this sedan?
[20:58.160 --> 20:59.160]  That's all right.
[20:59.160 --> 21:03.160]  What do y'all call these units? I see a lot of these around town.
[21:03.160 --> 21:05.160]  Just an unmarked police unit.
[21:05.160 --> 21:08.160]  Did they call y'all in and tell you the procedure?
[21:08.160 --> 21:11.160]  That's what it was.
[21:11.160 --> 21:14.160]  Well, basically, how do they pick people out of the crowd to pull over?
[21:14.160 --> 21:15.160]  That's what we're curious.
[21:15.160 --> 21:18.160]  I don't know. If you go down right over there and talk to one of them superpowers,
[21:18.160 --> 21:19.160]  they can tell you everything about it.
[21:19.160 --> 21:21.160]  They didn't tell you all the procedure.
[21:21.160 --> 21:23.160]  Basically, they just called y'all to tell you all about it.
[21:23.160 --> 21:27.160]  Well, if you go right over there and talk to a superpowers, they didn't tell you all about it.
[21:27.160 --> 21:29.160]  Because I didn't do them a job, brother.
[21:29.160 --> 21:30.160]  Okay.
[21:30.160 --> 21:33.160]  They can tell you all the procedure because they put it together. We did.
[21:33.160 --> 21:35.160]  You guys are just doing your jobs?
[21:35.160 --> 21:36.160]  Right.
[21:36.160 --> 21:41.160]  All right. Well, I'm not attacking y'all, but think about this.
[21:41.160 --> 21:45.160]  It may come in time when you see some things on television that are manufactured by the government.
[21:45.160 --> 21:47.160]  They're asking y'all to do some things that don't really sound right,
[21:47.160 --> 21:50.160]  but there's a rush of everything. Everybody working together.
[21:50.160 --> 21:52.160]  Feeling like y'all are part of a team.
[21:52.160 --> 21:55.160]  Going along with some things that aren't good.
[21:55.160 --> 21:57.160]  And, um...
[21:57.160 --> 22:00.160]  Well, just the whole thing's accelerating.
[22:00.160 --> 22:02.160]  That's right.
[22:02.160 --> 22:07.160]  There's a lot of things accelerating in the world today that aren't too nice.
[22:07.160 --> 22:15.160]  Would you guys, if ordered to do so, would y'all confiscate guns from law-abiding citizens or go house to house?
[22:15.160 --> 22:17.160]  Who would order you to do something that's against the law?
[22:17.160 --> 22:19.160]  It's against the law. They're talking about changing, man.
[22:19.160 --> 22:22.160]  Well, I mean, if they change the law, that's what the law says.
[22:22.160 --> 22:24.160]  How do they change the law without changing the Constitution?
[22:24.160 --> 22:25.160]  I don't know.
[22:25.160 --> 22:27.160]  We're talking Congress about that one.
[22:27.160 --> 22:32.160]  Well, yeah, the President uses those executive orders.
[22:32.160 --> 22:36.160]  Well, guys, that'd be some innocent time today, everybody.
[22:36.160 --> 22:39.160]  Two important points. He said, go back and talk to his superiors.
[22:39.160 --> 22:41.160]  We were there for over two and a half hours.
[22:41.160 --> 22:49.160]  And the second point, these two gentlemen, probably decent people, at least they talked to us,
[22:49.160 --> 22:55.160]  don't realize that an unconstitutional law does not have to be obeyed.
[22:55.160 --> 23:00.160]  In fact, I could harken back to Rosa Parks, going to jail for not sitting at the back of the bus.
[23:00.160 --> 23:05.160]  It was the law that black people were slaves, but later it was found to be unconstitutional.
[23:05.160 --> 23:08.160]  Laws are not holy.
[23:08.160 --> 23:16.160]  Laws are not magical if handed down by some despotic out-of-control police state.
[23:16.160 --> 23:20.160]  Well, we were now on the other side of the highway,
[23:20.160 --> 23:23.160]  and we were talking to some of the truckers about what was going on.
[23:23.160 --> 23:26.160]  The police continually were keying down the CB.
[23:26.160 --> 23:29.160]  Here's just a little bit of this activity.
[23:29.160 --> 23:35.160]  It's the junior high mentality of our law enforcement personnel that is the most frightening aspect.
[23:35.160 --> 23:37.160]  It's a big game.
[23:45.160 --> 23:50.160]  Well, absolutely all our newest nuclear weapons designs have been transferred to China.
[23:50.160 --> 23:54.160]  5,000 pounds of plutonium came up missing.
[23:54.160 --> 23:57.160]  It goes on and on. America is under attack, my friends.
[23:57.160 --> 23:59.160]  This is just the start of what's happening.
[23:59.160 --> 24:05.160]  And Bill Clinton is funding this with 2.4 billion that he got passed just last year.
[24:10.160 --> 24:14.160]  Not long have these police are such cowards and keep keying down on radios
[24:14.160 --> 24:17.160]  because they don't want to hear the truth like little junior high kids.
[24:22.160 --> 24:26.160]  Hey, let me tell you something, police. I'm not afraid of you. You're a bunch of criminals.
[24:26.160 --> 24:28.160]  You're a bunch of weaklings.
[24:28.160 --> 24:32.160]  I'm ashamed to be a part of this country because of people like you.
[24:35.160 --> 24:38.160]  Well, have fun, police. You're an idiot. You're an idiot.
[24:38.160 --> 24:41.160]  Well, Chief Alley, Philippus and San Antonio wouldn't an idiot
[24:41.160 --> 24:44.160]  when he threw the Delta Force out in May, but you won't research that.
[24:44.160 --> 24:51.160]  You're about to see an interview we conducted in mid-May in 1998
[24:51.160 --> 24:56.160]  with the Chief of Police of San Antonio, Texas, Chief Alley, Philippus.
[24:56.160 --> 25:02.160]  The chief was very concerned about what he called the attempts at bribery
[25:02.160 --> 25:04.160]  by Army's police.
[25:04.160 --> 25:10.160]  The chief was very concerned about what he called the attempts at bribery
[25:10.160 --> 25:14.160]  by Army Special Operations Delta Force.
[25:14.160 --> 25:19.160]  Also, the endangerment of public safety, all very serious issues.
[25:19.160 --> 25:23.160]  This interview is a watershed event because as far as we know,
[25:23.160 --> 25:29.160]  this is the first time that local law enforcement, local police leadership
[25:29.160 --> 25:33.160]  has actively stood up against Bill Clinton's new military
[25:33.160 --> 25:37.160]  or the globalist New World Order type military
[25:37.160 --> 25:41.160]  where they come into towns and terrorize the public.
[25:41.160 --> 25:44.160]  Again, God bless Chief Alley, Philippus.
[25:44.160 --> 25:48.160]  What were your major reservations in asking the mayor to tell them
[25:48.160 --> 25:52.160]  that y'all didn't want them to train here and to cease training here?
[25:52.160 --> 25:54.160]  Well, a lot of things happened.
[25:54.160 --> 25:57.160]  First of all, the organization came into the city
[25:57.160 --> 26:00.160]  and never really approached the city as a whole
[26:00.160 --> 26:02.160]  and was gotten together with the mayor and said,
[26:02.160 --> 26:07.160]  we need to speak to all these different departments and request some assistance.
[26:07.160 --> 26:10.160]  Various groups and individuals came into the city
[26:10.160 --> 26:13.160]  and approached different people at different levels.
[26:13.160 --> 26:15.160]  The police department was contacted.
[26:15.160 --> 26:19.160]  The city manager's office was contacted about using city facilities.
[26:19.160 --> 26:23.160]  Various business owners were contacted through the economic development department.
[26:23.160 --> 26:26.160]  The fire department was contacted by different individuals.
[26:26.160 --> 26:32.160]  So there was never any coordinated approach to the city of San Antonio.
[26:32.160 --> 26:35.160]  When we found out of that, we had some reservations,
[26:35.160 --> 26:37.160]  but we were willing at least to listen.
[26:37.160 --> 26:40.160]  But then we started finding out that discussions were happening
[26:40.160 --> 26:43.160]  at other different levels and there was no communication,
[26:43.160 --> 26:45.160]  no coordination between that.
[26:45.160 --> 26:47.160]  We also found out that leases had been negotiated
[26:47.160 --> 26:50.160]  with private business people throughout the city
[26:50.160 --> 26:53.160]  to utilize their vacant buildings
[26:53.160 --> 26:57.160]  without any coordination with the police department
